Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
328.5,40.441,74.431,9.9033,0.13201,0.10993,0.25878,0.22213,0.040744,0.034256,0.1078,0.050695,0.14071,1.0970569289217755
326.86,46.074,74.968,9.9584,0.13202,0.10994,0.27281,0.22207,0.040775,0.033825,0.10776,0.050615,0.14077,1.1105876239208037
328.5,40.441,74.431,10.147,0.13205,0.1101,0.27303,0.22241,0.040101,0.034487,0.10803,0.050799,0.14106,1.1120715803594754
328.14,35.803,75.295,9.314,0.13202,0.10966,0.27627,0.22164,0.042195,0.034042,0.10709,0.05071,0.13972,1.1133542213232903
326.88,40.014,74.389,10.081,0.13205,0.11006,0.27808,0.22235,0.040237,0.034423,0.10793,0.050794,0.14091,1.1168262629323904
326.49,40.242,75.442,10.037,0.13206,0.11005,0.27966,0.22228,0.040276,0.034293,0.10771,0.050858,0.1407,1.1178800931586472
329.7,42.339,74.231,10.251,0.13205,0.11014,0.28125,0.22249,0.039946,0.034476,0.1082,0.050758,0.14131,1.1206310102724317
328.42,40.431,73.877,9.9017,0.13201,0.10992,0.28469,0.22214,0.040793,0.034285,0.10789,0.05065,0.14078,1.1231556569898902
322.29,42.648,76.232,9.8381,0.13205,0.10993,0.2906,0.222,0.0408,0.033794,0.1073,0.050813,0.14023,1.1275045863844815
325.63,41.576,75.955,9.486,0.13202,0.10972,0.29552,0.22165,0.041884,0.033625,0.10711,0.05066,0.13987,1.132048221582199
