Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
299.47,230.86,76.793,9.7407,0.049487,0.13847,0.11087,0.10654,0.28006,0.043637,0.13375,0.02899,0.22116,1.1129610939565402
299.59,230.8,76.862,9.6414,0.049388,0.13838,0.11083,0.10646,0.28091,0.043878,0.13375,0.028996,0.22107,1.1136574277532656
299.68,228.41,76.619,9.7437,0.049436,0.13852,0.11088,0.10655,0.28196,0.043536,0.13373,0.029026,0.2212,1.1148367497009166
300.75,230.14,76.598,9.6904,0.049343,0.13851,0.11084,0.1065,0.28243,0.043707,0.13375,0.028994,0.22112,1.115194798317977
299.46,231.01,76.808,9.8488,0.049595,0.13858,0.11091,0.10663,0.28309,0.043373,0.13376,0.028966,0.22127,1.1161754027783082
299.51,232.45,76.915,9.8369,0.049615,0.13853,0.11091,0.10661,0.28357,0.043461,0.13377,0.028949,0.22124,1.116656979821641
299.27,232.85,76.761,9.8354,0.049613,0.13855,0.11091,0.10662,0.28375,0.043478,0.13378,0.028943,0.22124,1.1168753880640618
299.23,231.9,76.641,9.6955,0.049445,0.13844,0.11085,0.10651,0.28434,0.043788,0.13377,0.028975,0.22111,1.1172265602936982
299.37,231.04,77.025,9.854,0.049633,0.13854,0.11092,0.10663,0.28491,0.04337,0.13375,0.028967,0.22127,1.1179922246506886
299.33,234.66,76.623,9.7875,0.049563,0.1385,0.11089,0.10657,0.28496,0.043667,0.13381,0.028922,0.22117,1.118046335839883
