Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
472.28,0.50064,97.9,11.869,3.8087e-06,0.064591,0.087932,0.055094,0.12738,0.066924,0.25127,0.6531863759145589
472.44,0.50072,97.9,11.86,3.8087e-06,0.064595,0.087934,0.055093,0.12738,0.066921,0.2515,0.6534211028296486
470.67,0.50285,97.992,11.847,3.8018e-06,0.0646,0.087964,0.055094,0.12735,0.066884,0.2526,0.6544917841722716
473.92,0.50143,97.995,11.891,3.8088e-06,0.064571,0.087908,0.055101,0.1274,0.066949,0.25294,0.6548678725409607
473.87,0.50266,99.238,11.891,4.2724e-06,0.064551,0.087858,0.05516,0.12746,0.066972,0.25309,0.6550849179445328
477.57,0.50157,97.16,11.873,3.8552e-06,0.064568,0.087815,0.055104,0.12753,0.067058,0.2531,0.6551806247608947
473.49,0.50505,98.738,11.802,4.2572e-06,0.064591,0.087871,0.05515,0.12747,0.066953,0.25406,0.6560940703486284
478.98,0.50033,98.73,11.803,4.259e-06,0.064589,0.087817,0.055148,0.12752,0.067019,0.25401,0.656104137886905
475.64,0.50588,98.659,11.929,4.316e-06,0.064516,0.087773,0.055172,0.12757,0.067069,0.25414,0.6562346581896512
477.54,0.50066,99.879,11.955,4.4168e-06,0.064509,0.087791,0.055182,0.12751,0.06704,0.25446,0.6564870191202727
