Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g238),Error (g185),Error (g138),Error (g223),Error (g243),Error (curve),Error (g164),Error (g50),Reduced Error
2234.3,0.090601,78.427,9.5997,0.10755,0.16964,0.075874,0.12299,0.64694,0.060375,0.85778,0.15291,0.21518,2.409224461950478
2128.3,0.092912,93.035,10.704,0.10706,0.16877,0.074906,0.12256,0.51703,0.060775,0.98303,0.15473,0.22587,2.4147420085105584
2178.0,0.093286,78.243,9.5723,0.10757,0.16977,0.076077,0.1229,0.69881,0.060375,0.84953,0.15324,0.21764,2.4559128986025818
2138.1,0.092405,76.888,9.3662,0.1075,0.17013,0.0764,0.12296,0.7356,0.060472,0.82028,0.15311,0.21911,2.465566983894522
1935.0,0.10886,93.221,9.9215,0.10734,0.16902,0.075479,0.12258,0.72851,0.060456,0.88306,0.15412,0.22737,2.5279412684447307
1922.8,0.1078,145.85,10.214,0.10702,0.16634,0.072071,0.12327,0.68499,0.060554,0.95872,0.15178,0.22194,2.546686249757104
2190.0,0.092477,79.76,9.8575,0.1075,0.1697,0.075901,0.12276,0.76893,0.060436,0.87095,0.15371,0.21954,2.54942595611769
2131.7,0.09511,154.67,11.499,0.10684,0.16503,0.070869,0.12303,0.56049,0.060837,1.1006,0.15285,0.21956,2.560061318448617
2167.6,0.097121,97.419,9.1146,0.10744,0.16817,0.07528,0.12356,0.74386,0.060184,0.93083,0.15002,0.20149,2.5608342846306105
1970.9,0.10006,93.379,10.339,0.10708,0.16914,0.075222,0.1225,0.72777,0.060784,0.95527,0.15489,0.23136,2.604001370070906
