Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1606.0,0.17889,123.39,3.8669,0.35046,0.073812,0.040712,0.1445,0.11506,0.24532,0.11118,0.14641,0.11248,1.3399322709563777
1611.0,0.17488,123.98,3.9272,0.36216,0.072483,0.040006,0.14401,0.11404,0.24581,0.10973,0.14576,0.11256,1.34656763134357
1606.3,0.18082,121.36,3.8278,0.35848,0.074686,0.04114,0.14475,0.11573,0.24501,0.11231,0.14688,0.11245,1.351439517797724
1608.7,0.17426,123.59,3.9444,0.36862,0.072122,0.039784,0.14386,0.11376,0.24595,0.10953,0.14559,0.11259,1.3518014259693143
1610.6,0.17433,124.64,3.9258,0.3675,0.072507,0.040041,0.14404,0.11408,0.2458,0.10973,0.14578,0.11257,1.352031159320912
1611.3,0.17373,124.64,3.9288,0.37081,0.07244,0.040005,0.14401,0.11403,0.24582,0.10968,0.14575,0.11257,1.3551296912379622
1605.9,0.17554,124.15,3.9476,0.37349,0.072075,0.039758,0.14385,0.11371,0.24597,0.10953,0.14556,0.11258,1.3565331307404744
1636.7,0.16997,124.86,3.9471,0.37657,0.072064,0.039758,0.14377,0.1137,0.24599,0.1094,0.1456,0.11263,1.3594804526006117
1611.3,0.17377,124.4,3.9048,0.37412,0.072924,0.040292,0.1442,0.11443,0.24563,0.11006,0.14599,0.11254,1.3601858895915702
1641.9,0.17058,125.59,3.8974,0.37424,0.073078,0.040395,0.1442,0.11453,0.24558,0.11001,0.14609,0.11256,1.3606924166826988
