Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
1042.4,0.46323,138.19,2.5833,0.15798,0.29784,0.24638,0.092603,0.18212,0.17677,0.074568,0.16127,0.10433,1.4938614942457225
1041.5,0.46548,137.64,2.5775,0.15807,0.2983,0.24635,0.092632,0.18218,0.17673,0.074623,0.16136,0.10437,1.494625070198637
1002.7,0.46876,138.23,2.5678,0.15812,0.30194,0.24654,0.092449,0.18247,0.17675,0.074559,0.16144,0.10441,1.498674081172154
1065.0,0.45975,135.84,2.6496,0.15701,0.32745,0.24646,0.092432,0.18119,0.17707,0.073986,0.16033,0.10386,1.5197821203042823
1041.7,0.4644,137.63,2.5433,0.1586,0.32258,0.24625,0.092801,0.1826,0.17656,0.074971,0.16183,0.10462,1.5208134343282724
1031.8,0.45406,140.05,2.5991,0.15767,0.32836,0.24657,0.092451,0.18201,0.17689,0.074362,0.16099,0.1042,1.5235041236778135
1006.1,0.46491,135.95,2.6196,0.15734,0.33256,0.24665,0.092202,0.18179,0.17701,0.074037,0.16071,0.10403,1.5263158650831106
975.89,0.46912,138.27,2.5287,0.15865,0.33209,0.24658,0.09251,0.18307,0.1766,0.074843,0.16195,0.10467,1.5309692393924978
1003.8,0.47202,137.5,2.6065,0.15755,0.34118,0.24662,0.092249,0.18198,0.17694,0.074173,0.16091,0.10413,1.5357501444528465
972.63,0.47074,139.27,2.5054,0.15903,0.33868,0.24655,0.092483,0.18341,0.17649,0.07509,0.16226,0.10485,1.5388548988922195
