Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.020423,4.5606e-07,793.13,503.23,178.71,767.21,81.722,3.1928,0.23495,0.13616,0.04353,0.11817,0.11373,0.093604,0.056035,0.22663,0.078038,1.1008464720426683
0.02044,4.5576e-07,793.5,503.23,178.6,787.13,81.722,3.196,0.23681,0.13605,0.043663,0.11822,0.11385,0.09354,0.055984,0.22662,0.078309,1.1030487638665387
0.020328,4.6567e-07,783.75,501.01,177.45,768.6,82.254,3.1995,0.23993,0.13611,0.043598,0.11818,0.11373,0.093593,0.055838,0.22644,0.078125,1.105545240743338
0.020413,4.5909e-07,786.87,503.45,178.42,776.87,82.513,3.1906,0.23936,0.13606,0.043556,0.11814,0.11381,0.093683,0.05615,0.2265,0.078415,1.1056769690888135
0.020424,4.6342e-07,794.81,499.64,176.89,756.04,81.724,3.191,0.24027,0.13626,0.04348,0.11814,0.11365,0.093562,0.05605,0.22671,0.077801,1.105923341201853
0.020412,4.5909e-07,786.73,503.45,180.13,776.87,82.48,3.1906,0.23966,0.13604,0.04355,0.11816,0.1138,0.093688,0.056147,0.22647,0.078414,1.1059330327145598
0.020615,4.6564e-07,783.68,501.47,177.4,763.39,82.22,3.199,0.24127,0.13614,0.04356,0.11816,0.1137,0.093612,0.055849,0.22644,0.078053,1.1067929766567013
0.020322,4.6038e-07,783.33,501.45,177.28,763.08,82.3,3.2142,0.24284,0.13615,0.043644,0.11821,0.11366,0.093549,0.055467,0.22637,0.07778,1.1076720939714575
0.020422,4.5452e-07,790.17,503.35,177.2,774.96,81.637,3.2318,0.2432,0.13614,0.043805,0.11832,0.1137,0.093417,0.055096,0.22644,0.077581,1.1076960223531944
0.020456,4.6385e-07,788.15,506.59,176.06,778.83,81.983,3.2378,0.24353,0.13611,0.043824,0.11829,0.11374,0.093403,0.055033,0.22638,0.077663,1.1079756808505719
