Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1661.2,0.15519,125.93,4.8952,0.055097,0.21761,0.069176,0.13376,0.10273,0.056621,0.6350018431750071
1656.3,0.1552,126.06,4.8652,0.055147,0.2174,0.069223,0.13388,0.10303,0.056511,0.635182710718705
1657.9,0.15604,125.93,4.8261,0.055207,0.21907,0.069263,0.13407,0.10338,0.056379,0.6373748406897296
1656.3,0.1552,126.15,4.8459,0.05518,0.21972,0.069251,0.13397,0.10321,0.056443,0.6377783088222827
1658.6,0.15605,125.93,4.8155,0.055223,0.21985,0.069276,0.13412,0.10348,0.056343,0.6382976435052079
1668.3,0.1528,126.22,4.8896,0.055112,0.22108,0.069209,0.13382,0.10281,0.056607,0.6386285552920974
1818.4,0.13472,127.64,6.1026,0.054842,0.22753,0.067982,0.13205,0.095988,0.060344,0.6387292986522564
1685.5,0.15476,124.95,4.8002,0.055219,0.2202,0.069267,0.13429,0.10354,0.056326,0.6388451969028248
1684.5,0.15515,125.07,4.7987,0.055225,0.2203,0.069266,0.13429,0.10357,0.056317,0.6389722425084418
1658.5,0.15532,125.95,4.8287,0.055203,0.22155,0.069268,0.13406,0.10336,0.056389,0.6398307771095694
