Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
185.52,76.148,857.03,798.42,346.46,515.2,399.22,2.8105,0.14674,0.40877,0.050925,0.15365,0.2235,0.15903,0.1024,0.03161,0.029432,1.3060571241160928
183.08,75.316,856.54,798.4,344.88,517.54,398.29,2.8151,0.14671,0.41738,0.05102,0.15454,0.22362,0.16166,0.1022,0.031716,0.02906,1.3179087015407767
185.52,76.148,857.03,798.42,335.74,515.2,399.22,2.8105,0.14717,0.42652,0.050951,0.1536,0.22342,0.15881,0.10251,0.031483,0.029468,1.3239157000183
190.73,77.641,860.47,801.4,331.24,516.0,399.26,2.8482,0.14714,0.43629,0.050695,0.152,0.22309,0.15614,0.10293,0.031309,0.03015,1.329735444315061
189.58,76.225,855.37,798.42,346.51,517.72,399.78,2.7975,0.14668,0.44811,0.050826,0.15357,0.2234,0.15579,0.10234,0.03173,0.029672,1.3421192608462102
182.13,77.096,854.35,827.78,344.74,513.8,399.11,2.8159,0.14656,0.44701,0.050975,0.15386,0.22359,0.1589,0.10207,0.031518,0.029192,1.3436765786298135
185.28,76.964,856.33,798.46,346.48,514.19,398.26,2.8134,0.14694,0.46451,0.050952,0.1531,0.22354,0.15919,0.10263,0.031301,0.029431,1.3615928101779835
186.51,77.868,848.06,800.55,346.49,514.18,397.6,2.7605,0.14742,0.48336,0.050979,0.15256,0.22366,0.15537,0.10289,0.030847,0.029252,1.3763378532558297
186.76,79.484,852.66,829.27,344.76,513.69,398.36,2.7951,0.14703,0.4889,0.05081,0.15186,0.22346,0.15338,0.10273,0.030867,0.029617,1.378652998940472
187.49,77.542,856.53,827.87,344.78,514.99,397.55,2.8275,0.14625,0.49676,0.050855,0.15378,0.22354,0.15647,0.10193,0.031628,0.029307,1.3905151605265507
