Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1960.8,0.16494,151.37,5.8142,0.12932,0.1,0.0609,0.034108,0.11058,0.39957,0.13398,0.21837,0.047264,1.2340984088976008
1957.9,0.16637,151.21,5.6635,0.12901,0.099673,0.061751,0.034998,0.11053,0.3993,0.13409,0.21836,0.046802,1.2345206318573134
1954.9,0.16991,151.45,5.6497,0.12911,0.099693,0.06187,0.035168,0.11055,0.40003,0.13412,0.21837,0.046704,1.2356132050673627
1960.9,0.17123,150.2,5.5924,0.12897,0.099544,0.062299,0.035628,0.11059,0.40296,0.13412,0.21839,0.046539,1.2390428715962325
1961.3,0.16954,152.64,5.4359,0.12833,0.099203,0.063341,0.036546,0.1107,0.40405,0.1341,0.21846,0.046385,1.2411171246539594
1964.7,0.1672,154.04,5.4735,0.12835,0.099223,0.06307,0.036227,0.11068,0.40703,0.13408,0.21843,0.046497,1.2435857794448237
1995.5,0.16993,151.36,5.1031,0.12703,0.098898,0.065937,0.039297,0.11102,0.40358,0.13413,0.21865,0.045912,1.2444498827654042
1958.6,0.17192,151.43,5.2505,0.12776,0.099069,0.06467,0.03794,0.11083,0.40997,0.13413,0.21858,0.046112,1.249062360538046
1990.5,0.16959,152.68,5.0618,0.12685,0.098842,0.066215,0.039552,0.11106,0.40839,0.13414,0.21867,0.045898,1.2496069125825555
1976.2,0.1715,150.2,5.5068,0.12863,0.099318,0.062978,0.036302,0.11068,0.41652,0.1341,0.21843,0.046358,1.253308704677816
