Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
454.84,0.51094,99.596,13.087,2.7388e-06,0.063874,0.086556,0.055474,0.12813,0.068064,0.20902,0.6111134183845226
454.48,0.51396,100.2,13.107,2.8538e-06,0.063867,0.086604,0.05546,0.1281,0.068016,0.20971,0.6117579377994828
460.21,0.51351,100.51,13.072,2.9272e-06,0.06384,0.086616,0.055488,0.12818,0.068018,0.21025,0.6123872370742665
454.3,0.51375,99.602,13.049,2.8557e-06,0.063883,0.086594,0.055464,0.12812,0.068028,0.2104,0.612495222082852
454.3,0.51359,99.549,12.836,2.8301e-06,0.063943,0.086683,0.055465,0.12808,0.067933,0.21043,0.6125359368833199
454.48,0.51279,99.944,12.839,2.8272e-06,0.063945,0.086695,0.055462,0.12805,0.067918,0.21082,0.6128906052428182
454.24,0.51717,98.731,13.204,2.7354e-06,0.063821,0.086523,0.05548,0.12821,0.068105,0.21083,0.6129627421821557
453.07,0.51374,99.559,12.875,2.8321e-06,0.06394,0.08667,0.055458,0.12807,0.067944,0.21089,0.6129708091563403
455.53,0.51262,98.129,13.009,2.613e-06,0.06387,0.086563,0.055498,0.12822,0.068067,0.2108,0.6130242332362176
454.78,0.51089,99.063,12.962,2.7954e-06,0.063911,0.086575,0.055473,0.12814,0.068046,0.21096,0.613105220839964
