Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
490.34,14.995,74.455,4.7415,0.042519,0.10037,0.04714,0.13425,0.21882,0.074823,0.22284,0.11938,0.11623,1.0763729414027918
453.62,14.886,75.385,4.7344,0.042838,0.1006,0.045954,0.13413,0.21887,0.073787,0.25216,0.11981,0.1157,1.1038560174446672
444.54,15.982,73.736,4.7115,0.042664,0.1007,0.046351,0.13422,0.21889,0.073986,0.2517,0.11999,0.1157,1.1041999022543978
361.7,16.14,74.577,4.3834,0.043014,0.099784,0.046236,0.13437,0.21922,0.073827,0.33868,0.12014,0.11488,1.190149066698475
387.84,16.036,74.72,4.437,0.042943,0.10031,0.046429,0.13431,0.21918,0.074047,0.33956,0.12004,0.11513,1.1919623634168819
360.36,15.976,74.764,4.3848,0.043048,0.099759,0.046149,0.13437,0.21922,0.073762,0.34214,0.12013,0.11486,1.1934404712882472
362.29,15.515,75.614,4.39,0.04316,0.099733,0.045942,0.13433,0.21923,0.073638,0.34264,0.12012,0.11481,1.1936009499396079
361.64,15.954,74.792,4.2857,0.042976,0.099528,0.046928,0.13446,0.21931,0.074471,0.34461,0.11988,0.11496,1.1971264023235162
362.23,15.045,75.988,4.3851,0.043206,0.099685,0.045909,0.13433,0.21924,0.073646,0.34669,0.12003,0.11482,1.1975479898138048
362.28,16.618,75.272,4.5508,0.043219,0.10011,0.04478,0.13418,0.21909,0.072521,0.35137,0.12072,0.1146,1.2005918949737675
