Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
910.35,0.089134,43.699,1.4053,0.14419,0.1174,0.29573,0.22589,0.10464,0.080236,0.09155,0.044593,0.11241,1.2166316626624838
916.36,0.083808,44.439,1.4073,0.14421,0.11755,0.31857,0.22586,0.10476,0.08032,0.091577,0.044561,0.11233,1.2397383428611708
317.77,46.479,74.967,13.09,0.13286,0.11189,0.4233,0.22568,0.035648,0.034222,0.11115,0.051376,0.1433,1.2694410412663233
316.69,46.055,75.356,13.238,0.13295,0.11197,0.42543,0.22585,0.035419,0.034196,0.11132,0.05147,0.14335,1.2719566224089598
316.39,46.483,75.125,13.325,0.13297,0.112,0.42536,0.22593,0.035322,0.034196,0.11144,0.051472,0.14344,1.2721260833295216
316.34,46.516,75.211,13.352,0.13298,0.11201,0.42568,0.22596,0.035286,0.034187,0.11147,0.051484,0.14345,1.2724916257146257
316.05,57.18,74.845,13.442,0.1329,0.11189,0.42872,0.2258,0.035249,0.033765,0.11143,0.051286,0.14364,1.2746721576983655
325.55,44.95,74.57,13.327,0.13278,0.11194,0.42749,0.22587,0.035596,0.034705,0.11149,0.051352,0.14386,1.275084581790824
318.41,46.174,74.155,13.378,0.13291,0.112,0.42842,0.22599,0.035352,0.034407,0.11154,0.051405,0.14368,1.2757115493556384
318.97,55.901,74.75,12.993,0.13271,0.11167,0.43257,0.22537,0.035777,0.033874,0.11099,0.051151,0.14345,1.277563390093102
