Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g72),Error (g262),Error (g223),Error (g237),Error (g51),Error (curve),Error (g80),Error (g126),Reduced Error
1169.1,0.22832,122.96,5.4693,0.046135,0.096253,0.11431,0.13567,0.098398,0.13397,0.23259,0.25524,0.03086,1.1434310070963676
1159.3,0.22874,123.91,5.4893,0.045905,0.10052,0.11428,0.13588,0.098399,0.13402,0.23789,0.25526,0.030887,1.153029359764093
1158.5,0.22911,123.26,5.4927,0.045885,0.11279,0.11431,0.13582,0.098314,0.13397,0.22694,0.25532,0.030804,1.1541357674042805
1157.9,0.22901,122.11,5.468,0.046126,0.10307,0.11435,0.13572,0.098311,0.13399,0.23793,0.2553,0.030747,1.1555431845087785
1159.2,0.22828,123.88,5.4798,0.045959,0.097123,0.11428,0.13587,0.098441,0.13406,0.24589,0.25523,0.030916,1.1577631339032293
1158.8,0.2291,123.04,5.493,0.045879,0.11708,0.11432,0.13579,0.098289,0.13395,0.22646,0.25533,0.030779,1.1578769756310296
1155.0,0.22924,123.1,5.346,0.047743,0.10862,0.11431,0.13599,0.099014,0.13447,0.23275,0.25476,0.031246,1.1589038364984419
1158.9,0.22923,123.07,5.3467,0.047749,0.10865,0.11431,0.13596,0.099009,0.13445,0.23336,0.25477,0.031241,1.1594988241974533
1159.0,0.22927,123.07,5.3512,0.047678,0.10856,0.11431,0.13595,0.098986,0.13444,0.23357,0.25478,0.031229,1.1595002618098604
1159.1,0.22922,123.07,5.3444,0.047785,0.1087,0.11431,0.13596,0.09902,0.13445,0.23364,0.25476,0.031247,1.1598770641137213
