iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,220.26,28.858,64.17,15.819,4.7048e-05,0.07819377359202243,0.07316721064825012,0.10148362008585235
2,178.03,3.1378,42.906,15.998,3.3181e-05,0.32362709489166064,0.07374262351411406,0.3471001009893324
3,273.82,49.674,61.143,15.999,5.5658e-05,0.02319367436468294,0.07355044182286578,0.04660550713008686
4,255.23,50.664,65.103,15.723,5.6349e-05,0.015693355611883668,0.07335461862155873,0.0390428559163674
5,710.4,0.30458,62.623,15.629,5.6546e-05,0.7795362332877744,0.07409926406515402,0.8031227615986563
