Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
510.35,1.1361,72.338,1.1049,0.041419,0.097321,0.10721,0.1471,0.22878,0.12502,0.24184,0.10959,0.13188,1.2301660984824465
510.98,1.1554,72.95,1.0969,0.041399,0.097221,0.10747,0.14721,0.22882,0.12518,0.24544,0.10959,0.13198,1.2343037828795416
510.28,1.1491,72.35,1.1048,0.041453,0.097428,0.10719,0.14709,0.22878,0.12497,0.24623,0.10962,0.13179,1.2345454235885702
511.47,1.1335,72.377,1.0974,0.041419,0.097529,0.10749,0.14718,0.22882,0.1252,0.24562,0.10958,0.13196,1.2347947013697569
528.19,1.1384,72.803,1.328,0.041074,0.092406,0.10213,0.14569,0.22799,0.12153,0.26826,0.1094,0.1313,1.2397800541528863
556.25,0.96289,71.917,1.1392,0.040908,0.095931,0.10846,0.1475,0.22892,0.12615,0.2503,0.10898,0.13329,1.2404455627877302
499.06,1.1339,70.7,1.0972,0.041654,0.098973,0.10687,0.14688,0.22873,0.12471,0.25357,0.1098,0.13131,1.24249945190999
504.61,1.1745,74.141,1.0944,0.041286,0.096409,0.10733,0.14724,0.22878,0.12515,0.25545,0.10955,0.13219,1.2433873583076487
496.3,1.1555,71.337,1.0646,0.041682,0.099887,0.10774,0.14716,0.22886,0.12528,0.25758,0.10983,0.13149,1.2495051200171179
512.76,1.1518,72.502,1.0927,0.041462,0.097773,0.10764,0.14723,0.22885,0.12527,0.26101,0.10962,0.1319,1.2507444977136857
