Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1971.3,19.986,0.61803,19.571,0.46508,0.17142,0.14302,0.17704,0.15944,0.22836,0.24201,0.20194,0.098573,1.8868914948578008
1955.6,19.986,0.61815,19.571,0.47243,0.17131,0.14299,0.17703,0.15942,0.22837,0.24067,0.20185,0.098554,1.8926143924599692
1905.6,19.886,0.63025,19.567,0.49406,0.17039,0.14254,0.1768,0.1593,0.22838,0.23249,0.20117,0.098448,1.9035822804440774
1984.5,18.985,0.64748,15.472,0.45183,0.16716,0.13991,0.17616,0.15991,0.22735,0.28985,0.19805,0.099067,1.909305826325634
1984.8,18.985,0.64651,15.465,0.4521,0.16719,0.13993,0.17617,0.15992,0.22735,0.29038,0.19807,0.099073,1.9101996704563242
1954.9,19.026,0.65473,15.536,0.46154,0.16679,0.13976,0.17608,0.15983,0.22739,0.28256,0.19777,0.098981,1.9106915342989523
1886.6,19.987,0.65466,15.44,0.48013,0.1671,0.14011,0.17633,0.15972,0.22759,0.26986,0.19782,0.09878,1.917440684471145
1954.7,18.876,0.65271,15.536,0.4678,0.16672,0.13972,0.17604,0.15985,0.22736,0.28458,0.19775,0.099008,1.918824552974426
1962.1,18.709,0.66927,15.172,0.47059,0.16579,0.13907,0.1758,0.15984,0.22722,0.28519,0.197,0.099016,1.9195084715795032
1922.4,18.697,0.66936,15.354,0.47807,0.16564,0.13909,0.17577,0.15976,0.22729,0.27864,0.19692,0.098936,1.920105484197143
