Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g190),Error (g60),Error (g278),Error (g79),Error (g237),Error (g189),Error (g178),Error (g215),Reduced Error
1817.0,0.2475,213.93,1.6328,0.26674,0.18818,0.10526,0.10282,0.082375,0.1849,0.23516,0.069276,0.029217,1.2639270232161528
1960.9,0.232,211.48,1.655,0.27087,0.18774,0.10522,0.10189,0.082431,0.18374,0.23528,0.068083,0.028819,1.264079636712196
1960.6,0.232,211.56,1.6541,0.27152,0.18774,0.10522,0.1019,0.082438,0.18376,0.23529,0.068103,0.028825,1.2648019331131337
1990.8,0.23225,214.27,1.638,0.27241,0.18776,0.10517,0.10192,0.082605,0.18392,0.23541,0.068386,0.028891,1.2664761254301944
1988.9,0.22972,211.88,1.6559,0.27954,0.18767,0.1052,0.10176,0.082469,0.18359,0.23533,0.067971,0.028779,1.2723108532901686
1979.2,0.22773,212.35,1.6594,0.28335,0.1877,0.1052,0.10178,0.082433,0.1836,0.23531,0.067967,0.028778,1.2761146111659218
1994.5,0.23027,211.15,1.6578,0.2847,0.18764,0.10521,0.10171,0.082461,0.18351,0.23532,0.067885,0.028758,1.2771936358961147
1961.6,0.23568,212.45,1.6517,0.28895,0.18774,0.10523,0.10194,0.082448,0.18381,0.23528,0.06819,0.028849,1.2824362075168205
1980.6,0.23552,209.65,1.6611,0.3036,0.18762,0.10526,0.10174,0.082401,0.18349,0.23525,0.06782,0.028751,1.2959260060624898
1988.3,0.22756,209.29,1.6788,0.30841,0.18756,0.10525,0.10155,0.082294,0.18317,0.23521,0.067456,0.028657,1.2995581701502752
