Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1984.3,2.04e-05,0.25989,19.699,0.70671,0.082517,0.074253,0.081566,0.36423,0.18362,1.492890050869133
124.8,0.038612,96.324,7.6529,1.0951,0.10436,0.05696,0.062844,0.12659,0.050234,1.4960886271567886
123.99,0.038736,97.014,7.648,1.0959,0.10434,0.056939,0.062887,0.1264,0.050191,1.4966258808980777
1881.5,2.1439e-05,0.2687,19.696,0.71516,0.082717,0.073964,0.081297,0.36196,0.18225,1.4973563920408055
1882.3,2.3418e-05,0.27934,19.597,0.71903,0.082774,0.073913,0.081056,0.35979,0.18088,1.4974359538975166
1882.3,2.2322e-05,0.2725,19.635,0.71691,0.082748,0.073929,0.081198,0.36112,0.18172,1.4976235696643947
1881.5,2.0468e-05,0.26692,19.717,0.7149,0.082714,0.074003,0.081368,0.36264,0.18272,1.4983377396630833
1880.6,2.2254e-05,0.27137,19.634,0.71848,0.08275,0.073918,0.081214,0.36129,0.18183,1.4994773079714752
1881.6,2.4708e-05,0.2747,19.633,0.7222,0.082758,0.073834,0.081071,0.35978,0.18078,1.5004308337393564
1879.5,2.1929e-05,0.27246,19.592,0.71942,0.082773,0.073924,0.081206,0.36134,0.1819,1.500555784511412
