Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
280.74,0.00059503,47.098,14.425,4.8369e-05,0.13358,0.057142,0.066613,0.069317,0.21635,0.078085,0.621086579275825
284.28,0.0006443,47.082,14.427,4.8356e-05,0.13373,0.057206,0.066519,0.069255,0.21679,0.078165,0.6216671784754754
284.35,0.00065992,47.242,14.427,4.8355e-05,0.13373,0.057221,0.066486,0.069303,0.21813,0.07811,0.6229771135064435
284.36,0.00067748,47.587,14.423,4.8355e-05,0.13371,0.057235,0.066455,0.069377,0.22167,0.078019,0.626463321888605
288.98,0.00064086,46.755,14.665,4.8434e-05,0.13392,0.057255,0.066524,0.069155,0.22164,0.078317,0.6268119802910794
280.76,0.00059218,46.317,14.425,4.9666e-05,0.13368,0.057135,0.066604,0.069165,0.23159,0.078272,0.6364377699110079
286.45,0.00063952,47.527,14.426,4.8249e-05,0.13371,0.057207,0.066561,0.069193,0.23618,0.078217,0.6410741530752343
269.59,0.00077031,46.625,12.52,5.9987e-05,0.1333,0.056975,0.066322,0.068436,0.24082,0.078713,0.6445690988811242
288.21,0.00091889,48.194,14.437,6.2315e-05,0.13399,0.057399,0.066001,0.069358,0.24029,0.077941,0.6449721639535126
277.14,0.00062802,47.345,14.427,4.8366e-05,0.1335,0.057161,0.066501,0.069608,0.24346,0.077759,0.6479926657764774
