Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
822.97,0.51748,23.411,11.231,0.12131,0.11462,0.062883,0.051801,0.11344,0.37824,0.13531,0.21977,0.041194,1.2385745295387423
813.43,0.62632,21.948,11.239,0.1209,0.11503,0.064319,0.053127,0.11353,0.37775,0.13547,0.21991,0.040647,1.240675655383147
849.58,0.66518,19.112,11.232,0.11981,0.11617,0.06747,0.056847,0.1146,0.47532,0.13577,0.22015,0.03969,1.3458285338267946
814.55,0.67421,19.025,11.189,0.11978,0.11595,0.067269,0.056679,0.11436,0.51559,0.1359,0.22014,0.039857,1.3855231834945019
857.49,0.69672,17.845,10.022,0.11939,0.11703,0.069901,0.059733,0.11424,0.51942,0.13631,0.22047,0.039237,1.3957338660965886
846.06,0.69398,18.868,11.234,0.11975,0.11621,0.067783,0.057143,0.11461,0.53318,0.13581,0.22018,0.039577,1.404258435099086
850.7,0.65732,19.862,11.228,0.1201,0.11592,0.066705,0.055901,0.11436,0.56494,0.13564,0.22009,0.039886,1.4335603479531827
817.07,0.72835,19.805,11.25,0.12018,0.11568,0.066642,0.055647,0.11403,0.56606,0.1357,0.22012,0.039908,1.4339815800016502
847.82,0.725,16.253,10.976,0.11872,0.11719,0.071112,0.06124,0.11549,0.57896,0.13643,0.22048,0.038751,1.4583736132043479
763.03,0.78771,21.869,11.111,0.12116,0.11473,0.06438,0.052713,0.1128,0.66541,0.1356,0.22001,0.04064,1.5274276689170139
