Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g50),Error (curve),Error (g223),Error (g243),Error (g238),Error (g138),Error (g185),Error (g39),Reduced Error
474.53,9.6223,0.090637,10.597,0.095238,0.1072,0.50447,0.42943,0.10123,0.16352,0.18846,0.12481,0.13166,1.846011121847403
476.29,9.6488,0.08954,10.6,0.09527,0.10723,0.50403,0.43151,0.10125,0.16353,0.18849,0.1249,0.13173,1.847924564930677
479.74,9.4585,0.091029,10.553,0.095221,0.10714,0.54487,0.42746,0.10114,0.16347,0.18831,0.12462,0.13156,1.8837883094438788
460.23,9.4956,0.11121,10.41,0.09489,0.10669,0.60768,0.39849,0.10069,0.16326,0.18741,0.12304,0.13047,1.9126295068976742
2193.9,0.094202,0.34925,13.952,0.09728,0.092837,0.93097,0.19243,0.088088,0.1564,0.17245,0.08806,0.11626,1.9347746013286518
2000.2,0.13115,0.15112,12.227,0.094582,0.097748,0.91761,0.20725,0.091599,0.1583,0.17647,0.09913,0.11874,1.9614406814918648
1883.6,0.17153,0.1872,14.152,0.094293,0.095332,0.93775,0.20072,0.091296,0.15795,0.17623,0.098286,0.11888,1.9707349198767932
572.76,9.5505,0.094423,13.199,0.094689,0.10332,0.70791,0.38113,0.099984,0.16254,0.18826,0.12317,0.13193,1.9929272756980319
527.2,9.5963,0.18842,14.25,0.093849,0.099985,0.82094,0.29737,0.097738,0.16112,0.18505,0.11689,0.12874,2.0016844886117418
2096.7,0.096441,0.4228,13.998,0.097778,0.092204,1.0108,0.1914,0.0874,0.15592,0.17226,0.086232,0.11544,2.0094712736887956
