Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g185),Error (curve),Error (g238),Error (g223),Error (g50),Error (g138),Error (g39),Error (g243),Reduced Error
1668.2,0.047015,11.598,4.8396,0.16836,0.067724,0.83868,0.16371,0.86595,0.31253,0.14085,0.086922,0.081435,2.726165423742672
1614.8,0.047841,11.663,4.7525,0.16949,0.067723,0.89162,0.16394,1.1008,0.31618,0.13979,0.086714,0.081443,3.0177087188780884
2130.1,0.048193,11.739,4.9066,0.16328,0.066844,0.94193,0.16183,1.1071,0.28512,0.14359,0.088772,0.079944,3.038423028468661
1672.6,0.046994,11.802,4.8855,0.16815,0.067562,0.9424,0.16356,1.1159,0.31127,0.1411,0.087041,0.081245,3.078212123376589
1678.8,0.047778,11.985,4.9802,0.16753,0.067345,1.0431,0.16349,1.0175,0.30997,0.14165,0.087101,0.081098,3.0787772342527213
1553.0,0.046931,11.822,4.8372,0.16985,0.06764,1.0107,0.16411,1.0405,0.31935,0.14007,0.086531,0.081477,3.080181739752387
1695.8,0.047535,11.765,4.8814,0.16783,0.067562,0.86718,0.16351,1.2069,0.31,0.14117,0.087095,0.081235,3.0925071502661554
1655.6,3.4963,46.323,5.2024,0.14246,0.071176,1.5916,0.16204,0.67467,0.1845,0.12757,0.1005,0.059328,3.113880115810622
1740.0,0.046918,11.529,4.8236,0.16763,0.0677,0.84531,0.16343,1.2766,0.30826,0.1412,0.087209,0.081288,3.138570509875486
1676.0,3.4813,46.508,5.0375,0.14269,0.071254,1.7177,0.16144,0.6766,0.17993,0.12744,0.10114,0.058866,3.2370761960165586
