Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
781.7,0.40583,164.48,3.0017,0.023015,0.02301491222865484
779.95,0.40583,164.48,2.9915,0.023842,0.02384215825792594
781.64,0.40583,164.48,2.9677,0.024594,0.02459396281616761
781.19,0.40583,164.48,2.9658,0.024861,0.024860704477512586
833.04,0.40583,164.48,2.6971,0.026076,0.0260757792448291
833.04,0.40583,164.48,2.6971,0.026076,0.026075779590297995
833.04,0.40583,164.48,2.6971,0.026076,0.026075780931415587
833.04,0.40583,164.48,2.6971,0.026076,0.026075781054897926
833.04,0.40583,164.48,2.6971,0.026076,0.02607578219208849
833.04,0.40583,164.48,2.6971,0.026076,0.02607578237843709
