Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
182.62,541.97,64.103,9.7683,0.1281,0.022914,0.26635,0.28507,0.13732,0.10178,0.10127,0.11959,0.026939,1.189326876723829
182.67,541.65,64.244,9.8361,0.12798,0.022938,0.26643,0.28941,0.13726,0.10159,0.10073,0.11957,0.026965,1.1928763608214508
179.24,546.35,63.604,10.398,0.12723,0.023687,0.26736,0.28495,0.13525,0.10066,0.10674,0.12003,0.026979,1.1928990367303454
179.74,546.28,63.226,10.238,0.12741,0.023499,0.26715,0.28739,0.13567,0.10098,0.10435,0.11994,0.026895,1.1932862234995556
182.59,541.68,63.892,10.387,0.12709,0.023343,0.26714,0.29337,0.13627,0.10052,0.10189,0.11963,0.027027,1.196296050528183
180.84,541.85,63.56,9.8873,0.12792,0.023078,0.26658,0.29358,0.13685,0.1016,0.10015,0.11973,0.026898,1.1963791643358037
177.95,547.29,63.547,10.289,0.12743,0.02372,0.26732,0.28994,0.13526,0.10088,0.1064,0.12015,0.026974,1.1980863009064076
179.4,539.84,63.552,10.377,0.12716,0.023566,0.26725,0.2939,0.13555,0.10063,0.10531,0.11988,0.027015,1.2002501742767175
181.85,541.81,64.341,9.7874,0.12809,0.022951,0.26639,0.29793,0.13718,0.10171,0.10007,0.11964,0.026979,1.2009325651731007
178.94,536.65,63.961,10.565,0.12691,0.023759,0.26747,0.29342,0.1352,0.10017,0.10769,0.11993,0.027139,1.2016888332579767
