Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1109.5,0.086028,97.275,4.211,0.11811,0.056585,0.11855,0.074659,0.58215,0.05416,1.0042184063989943
1102.1,0.086032,97.001,4.3119,0.11708,0.05641,0.11768,0.074318,0.58736,0.053878,1.0067261818332114
1090.2,0.085618,97.736,4.0632,0.1197,0.056889,0.1199,0.075245,0.58965,0.054587,1.0159676768445458
1076.2,0.092127,91.256,4.2362,0.11906,0.057251,0.11783,0.07456,0.59948,0.054223,1.02240177442272
1123.2,0.078383,98.385,4.356,0.11651,0.056291,0.11718,0.074217,0.6098,0.053681,1.0276839773878048
1081.3,0.080155,97.401,4.4633,0.11563,0.056205,0.11624,0.073934,0.6229,0.053403,1.0383096170281072
1078.8,0.083958,97.429,4.1847,0.11828,0.056577,0.11873,0.074844,0.62051,0.054148,1.0430864189799676
1139.0,0.086185,95.322,4.14,0.11938,0.057041,0.11894,0.074856,0.61843,0.054446,1.0430998861498215
1187.0,0.070334,97.172,4.0878,0.11978,0.057036,0.11897,0.075144,0.6228,0.054368,1.0480954579384556
1124.3,0.081926,100.02,4.372,0.11607,0.056129,0.11738,0.074132,0.65029,0.053704,1.0676973879773213
