Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g72),Error (g262),Error (g223),Error (g237),Error (g51),Error (curve),Error (g80),Error (g126),Reduced Error
1390.9,0.18855,124.9,5.552,0.044516,0.087876,0.11417,0.13641,0.098093,0.13312,0.21419,0.25535,0.030351,1.1140744664329063
1390.7,0.18719,124.7,5.5495,0.044439,0.091527,0.11418,0.13638,0.098089,0.13313,0.21746,0.25537,0.030345,1.1209303905322
1383.2,0.18839,123.93,5.5546,0.044445,0.08961,0.11417,0.13637,0.098051,0.13307,0.22052,0.25538,0.030292,1.1219051832067073
1395.2,0.18798,124.77,5.5384,0.044682,0.091615,0.11415,0.13648,0.09816,0.13313,0.22001,0.25529,0.030374,1.123891176445211
1379.2,0.1889,124.06,5.5581,0.044405,0.092687,0.11418,0.13635,0.098033,0.13307,0.22062,0.2554,0.030294,1.125035671506217
1394.5,0.18826,124.72,5.5382,0.044705,0.092492,0.11414,0.13649,0.098161,0.13312,0.2226,0.25529,0.030371,1.1273741520573648
1379.2,0.18973,123.98,5.5388,0.044729,0.094455,0.11414,0.13649,0.098132,0.13307,0.22334,0.2553,0.030335,1.129994932040865
1378.7,0.18889,124.04,5.5599,0.044378,0.096503,0.11418,0.13633,0.098023,0.13306,0.22185,0.25541,0.03029,1.130037604141279
1392.8,0.18799,123.91,5.5563,0.044468,0.089209,0.11414,0.13638,0.098063,0.13306,0.22983,0.25536,0.030288,1.1308072125075233
1395.5,0.18697,124.42,5.5249,0.044787,0.096105,0.11414,0.13653,0.098218,0.13315,0.22295,0.25525,0.030384,1.1315261524950968
