Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g237),Error (g86),Error (g303),Error (g59),Error (g63),Reduced Error
0.27416,0.10761,3.7531,1.5887,1.0662e-10,0.26132,0.072739,0.032161,0.033279,0.039586,0.32444,0.12725438928649918
282.69,211.49,66.182,8.489,4.7414e-05,0.48901,0.042012,0.020514,0.030921,0.029226,0.27558,0.14787679845579602
0.27683,0.10467,3.6333,1.5884,1.0725e-10,0.39305,0.072658,0.03214,0.03322,0.039569,0.32475,0.1492322893196266
281.15,210.09,65.457,8.683,4.6865e-05,0.49736,0.041846,0.020541,0.031044,0.029171,0.27546,0.14923672271710184
288.13,217.16,66.165,8.4336,4.7294e-05,0.49698,0.042048,0.020522,0.030911,0.02924,0.27591,0.14926746101385657
278.3,209.32,65.586,8.1241,4.7487e-05,0.50512,0.042336,0.020454,0.030697,0.029353,0.27599,0.1506585642379855
0.22279,0.096641,3.5217,1.5105,1.0457e-10,0.41191,0.073396,0.032261,0.03349,0.040007,0.32584,0.15281730526965798
277.72,121.49,67.038,8.2037,4.8048e-05,0.5304,0.040598,0.01976,0.031052,0.029118,0.274,0.1541545894095153
294.59,232.02,66.494,15.546,9.5935e-05,0.53226,0.041037,0.021952,0.032252,0.02802,0.27336,0.15481407539161762
310.1,212.38,64.213,8.6061,5.0187e-05,0.5312,0.04154,0.020533,0.031183,0.02909,0.27683,0.15506317800320682
