Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
874.27,0.52447,150.7,2.8535,0.15409,0.44406,0.24776,0.09382,0.17967,0.17824,0.072268,0.15756,0.10247,1.6299366655522207
876.84,0.52264,150.64,2.8685,0.15391,0.44492,0.24781,0.093868,0.17951,0.17831,0.07216,0.15736,0.10237,1.6302196748707904
875.22,0.52415,150.71,2.8697,0.15389,0.44499,0.24781,0.093871,0.17951,0.17832,0.072152,0.15735,0.10237,1.6302537513979944
876.81,0.52273,150.47,2.8685,0.15391,0.44499,0.2478,0.093865,0.17951,0.17831,0.072159,0.15736,0.10237,1.6302703076791358
876.87,0.52292,150.47,2.8683,0.15391,0.44509,0.2478,0.093864,0.17951,0.17831,0.072161,0.15736,0.10237,1.6303798871753015
874.19,0.52419,150.7,2.8498,0.15414,0.44442,0.24775,0.093809,0.17971,0.17822,0.072295,0.1576,0.1025,1.6304401827547517
874.49,0.52486,150.72,2.8401,0.15426,0.44519,0.24771,0.093775,0.1798,0.17817,0.072367,0.15773,0.10256,1.631564781345388
875.89,0.52046,150.76,2.8578,0.15403,0.44624,0.2478,0.093846,0.17964,0.17826,0.072234,0.1575,0.10244,1.6319973629027906
875.27,0.52419,151.03,2.8273,0.15442,0.4455,0.24767,0.09374,0.17993,0.17811,0.072463,0.1579,0.10265,1.632397395915543
885.53,0.5149,150.76,2.8687,0.1539,0.44737,0.24781,0.09388,0.1795,0.17832,0.072158,0.15736,0.10237,1.6326678497075118
