Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
2.8971,0.0051728,480.7,1.2673,0.10213,0.059102,0.34174,0.075768,0.49348,0.15607,1.2282914507833373
3.8861,0.0064126,479.55,1.3579,0.1034,0.058291,0.33441,0.074584,0.50423,0.15348,1.2284056274954904
2.961,0.005182,480.68,1.2677,0.10221,0.059028,0.34186,0.075691,0.49375,0.15624,1.2287741279371407
2.8971,0.0051728,477.71,1.2673,0.10207,0.059139,0.34165,0.075821,0.49711,0.15595,1.231744670777205
3.9258,0.0062865,463.13,1.3333,0.10315,0.058453,0.33471,0.074884,0.51777,0.15328,1.2422463396836168
4.0455,0.0064183,467.49,1.3885,0.10318,0.058395,0.33456,0.074775,0.51849,0.15339,1.242792404832588
3.6189,0.0063361,472.99,1.3836,0.10288,0.05862,0.33439,0.074982,0.52209,0.15295,1.2459125642600595
2.4976,0.0053366,488.03,1.2739,0.1018,0.059721,0.33898,0.076257,0.5734,0.15396,1.3041245536926662
2.8985,0.0051711,448.09,1.1691,0.10195,0.05935,0.33974,0.076164,0.57328,0.15435,1.3048327841270948
7.6614,0.0056283,478.17,1.1272,0.10572,0.056871,0.34287,0.073683,0.5845,0.16043,1.324066237037391
