Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
144.02,9.4327,482.08,19.17,0.86334,0.43337,0.11447,0.20324,0.10194,0.19767,0.076212,0.090125,0.16984,2.250196107407244
142.51,9.6972,498.55,19.788,0.91604,0.37862,0.11477,0.20419,0.10136,0.19849,0.077482,0.090656,0.16973,2.2513323940271595
141.73,9.4644,481.53,18.98,0.85964,0.44636,0.1145,0.20309,0.10202,0.19713,0.076128,0.09004,0.1692,2.258103484575425
137.55,9.7472,495.6,19.549,0.89448,0.40804,0.11507,0.20421,0.10138,0.19812,0.077932,0.090709,0.1686,2.2585371604944493
140.37,9.3867,481.19,19.155,0.86139,0.45507,0.11488,0.20347,0.10195,0.19779,0.076734,0.09022,0.16898,2.2704854726256785
143.61,9.316,479.85,19.162,0.87528,0.44309,0.11463,0.20331,0.10201,0.19783,0.076277,0.090106,0.16956,2.2721014391680954
139.94,9.4115,479.12,19.028,0.82987,0.49158,0.11481,0.20311,0.10217,0.19735,0.076445,0.090064,0.16883,2.274234397575569
139.09,9.4477,481.2,18.991,0.84472,0.47756,0.11481,0.20319,0.10211,0.19714,0.07649,0.090076,0.16851,2.274612107972519
140.08,9.3984,479.04,19.062,0.83359,0.48917,0.11484,0.20317,0.10215,0.19748,0.076507,0.090092,0.1689,2.275894248474571
139.09,9.4332,481.2,18.991,0.85146,0.47551,0.11482,0.20322,0.10211,0.19716,0.076486,0.090072,0.16847,2.2792981633289493
