Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1912.5,0.080681,76.425,4.1887,0.057468,0.12353,0.12615,0.70403,0.072562,0.060572,1.1443184580305703
1888.2,0.080175,76.13,4.1541,0.057595,0.12387,0.12612,0.70591,0.072701,0.060583,1.1467767637766213
1894.2,0.082599,76.343,4.2451,0.057137,0.12268,0.12558,0.71837,0.072337,0.060103,1.1562103565859363
1937.3,0.078818,78.943,4.2738,0.057204,0.12274,0.12671,0.72307,0.072274,0.060814,1.1628181633823187
1893.2,0.28572,57.148,7.9223,0.058003,0.092541,0.10497,0.78937,0.070275,0.051725,1.1668836786687158
1909.9,0.0859,75.29,4.2032,0.057272,0.1232,0.12567,0.73085,0.072437,0.060238,1.1696634984800938
1913.4,0.08432,76.576,4.2106,0.05729,0.12323,0.12618,0.73494,0.072427,0.060553,1.1746223196611367
1911.6,0.077815,76.149,4.2046,0.057457,0.12332,0.12577,0.74173,0.072551,0.060308,1.1811281505140518
1843.8,0.28087,57.866,7.6133,0.057524,0.093094,0.1057,0.8055,0.069976,0.051699,1.1834972605571759
1828.3,0.089916,74.572,4.3403,0.056469,0.12091,0.12374,0.76747,0.071943,0.058782,1.1993224229609734
