Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1322.2,0.13475,106.1,7.7218,0.31743,0.086124,0.065519,0.065138,0.12708,0.055129,0.7164215888376357
1329.7,0.12997,106.87,7.7474,0.32107,0.086063,0.065602,0.065087,0.12714,0.055148,0.720106997958966
1332.2,0.13054,105.73,7.7263,0.33295,0.086016,0.065674,0.065139,0.12718,0.055119,0.7320812385363857
1333.0,0.13072,105.51,7.7599,0.33622,0.08593,0.065714,0.065115,0.12704,0.055127,0.7351480564918048
1337.1,0.1317,105.76,7.6674,0.33699,0.086112,0.065658,0.065136,0.12745,0.055118,0.7364691316460598
1285.7,0.123,116.59,7.878,0.34056,0.086891,0.064733,0.064876,0.12689,0.055332,0.7392886510432615
1307.9,0.14094,103.49,7.574,0.34284,0.086429,0.065358,0.065347,0.12742,0.055032,0.7424305106271948
1334.7,0.13107,105.51,7.7949,0.34513,0.085852,0.065741,0.065068,0.12691,0.055144,0.7438470056748065
1332.5,0.12871,105.51,7.7597,0.35023,0.085929,0.065733,0.065144,0.12706,0.055119,0.7492186464788596
1338.1,0.13541,104.11,7.5987,0.35069,0.08622,0.065632,0.065174,0.12769,0.055083,0.7504880090971268
