param_type,param_name,out_l_bound,in_l_bound,out_u_bound,in_u_bound,base
input,cp_tau_s,0,2.361085360488826,1,3.2838663484734685,10
input,cp_b,0,-0.2861064305231908,1,0.9483689472152674,10
input,cp_tau_0,0,1.3694199649655836,1,2.6769312636734686,10
input,cp_n,0,0.006337660374550953,1,1.2569100818893564,10
input,average_strain,0,-2.112787930146946,1,-0.5411356216384818,10
output,average_stress,0,1.8724010409173022,1,3.690975337932868,10
output,g14_phi_1,0,0.09964611712323065,1,0.17802678827043272,10
output,g14_Phi,0,0.33237785645732576,1,0.35185426047875257,10
output,g14_phi_2,0,0.6257444722246495,1,0.638149675666846,10
output,g72_phi_1,0,-2.9344202852715515,1,0.7980633641091185,10
output,g72_Phi,0,0.46092789669807765,1,0.46590309817330267,10
output,g72_phi_2,0,0.23241157842084584,1,0.30016053695135225,10
output,g95_phi_1,0,0.23095955574856905,1,0.2768293053433886,10
output,g95_Phi,0,0.27964413386530973,1,0.3081587403596879,10
output,g95_phi_2,0,0.5280935880068071,1,0.5382594603421657,10
output,g101_phi_1,0,0.16091849953978055,1,0.21218760440395776,10
output,g101_Phi,0,0.3866951117756184,1,0.3997083252404209,10
output,g101_phi_2,0,0.5402668918263006,1,0.550729643175869,10
output,g207_phi_1,0,0.2963799537713857,1,0.3148148872107209,10
output,g207_Phi,0,0.25343493524100563,1,0.2848140973812312,10
output,g207_phi_2,0,0.5719532719625514,1,0.5822679560918189,10
output,g240_phi_1,0,0.37130804385592114,1,0.38762115112508644,10
output,g240_Phi,0,0.37121568204236116,1,0.3823592975193185,10
output,g240_phi_2,0,0.5678377032007612,1,0.5765025967334002,10
output,g262_phi_1,0,0.13893394025692368,1,0.2027334580454432,10
output,g262_Phi,0,0.37814342796774153,1,0.39922362152726953,10
output,g262_phi_2,0,0.5847381847114466,1,0.6067789280323502,10
output,g287_phi_1,0,0.3167668701414314,1,0.3489470659255977,10
output,g287_Phi,0,0.37529773821733897,1,0.3824133131262665,10
output,g287_phi_2,0,0.552242228356702,1,0.5693387900429224,10
