Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
915.63,0.29241,122.27,4.2704,0.14819,0.070214,0.13635,0.056373,0.054753,0.11158,0.577458737449461
914.57,0.29657,119.68,4.4107,0.15679,0.069831,0.13585,0.056065,0.054912,0.11018,0.5836279736837944
920.01,0.29217,123.11,4.2085,0.15639,0.070376,0.13659,0.056517,0.054695,0.11221,0.5867652707313302
928.66,0.29318,119.66,4.387,0.16702,0.069871,0.13593,0.056106,0.054878,0.11046,0.5942662868968002
927.4,0.28971,120.91,4.4088,0.17007,0.069843,0.13582,0.056098,0.054911,0.1104,0.5971423892897999
900.05,0.31474,119.51,4.0804,0.176,0.070653,0.1372,0.056713,0.054516,0.11287,0.6079496335146066
899.81,0.3118,118.76,4.4084,0.18771,0.069788,0.13594,0.056073,0.054919,0.1099,0.6143308602558561
900.05,0.31452,119.45,4.0647,0.18232,0.070699,0.13725,0.056743,0.0545,0.11302,0.6145356250009674
930.4,0.27894,123.57,4.1823,0.18725,0.070497,0.13659,0.05655,0.054683,0.11266,0.618230817113214
883.48,0.29947,123.68,4.3654,0.19097,0.070009,0.13592,0.05623,0.054882,0.11066,0.6186637675832759
