Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1854.4,0.57946,62.572,1.0806,0.11968,0.099246,0.10708,0.088541,0.13114,0.6614,0.14128,0.22476,0.038011,1.6111535072876155
1854.7,0.57937,62.473,1.106,0.11969,0.099395,0.10635,0.087681,0.1309,0.66378,0.14102,0.2246,0.038072,1.6114859573142468
1853.7,0.58381,63.594,1.0932,0.11965,0.099207,0.10672,0.088019,0.13104,0.67247,0.14114,0.22464,0.038103,1.6209961375524635
1936.2,0.55444,65.133,1.1096,0.11904,0.098624,0.10636,0.087601,0.13183,0.6782,0.14087,0.22426,0.038012,1.6247907009058613
1801.3,0.59008,67.831,1.2885,0.12013,0.10027,0.10131,0.081155,0.12897,0.69546,0.13931,0.22338,0.038759,1.62874097438414
1844.7,0.57716,62.736,1.1,0.11979,0.099425,0.10644,0.08774,0.13088,0.68238,0.14104,0.22463,0.038067,1.6303923245147314
1932.0,0.56392,65.068,1.1771,0.11909,0.099134,0.10463,0.085538,0.13111,0.68933,0.1403,0.22387,0.038227,1.6312259308051298
1802.7,0.57662,65.65,1.1095,0.12015,0.099587,0.10582,0.086696,0.13048,0.68608,0.14078,0.22451,0.038237,1.6323351205762606
1853.3,0.59407,60.671,1.1182,0.11965,0.099594,0.10624,0.087721,0.13067,0.68601,0.14107,0.22465,0.038069,1.6336766775507199
1986.3,0.57279,56.148,1.1034,0.11872,0.09979,0.10725,0.089565,0.13193,0.69776,0.14141,0.22471,0.037672,1.6488018260677169
