Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
1988.5,0.013253,62.934,15.622,0.11861,2.6804,0.29736,0.43154,0.2039,0.15682,0.07691,0.071112,0.15326,4.189884983355634
1715.2,0.0152,45.001,17.165,0.11917,2.7806,0.29545,0.40695,0.19469,0.15592,0.075638,0.073753,0.15345,4.2555995520488406
2211.3,0.008005,64.672,14.283,0.11731,2.4884,0.29978,0.71594,0.20793,0.15788,0.077363,0.070415,0.15121,4.286174603272943
2046.8,0.0089239,53.321,15.155,0.11744,2.6123,0.29875,0.59745,0.20337,0.15719,0.076624,0.071725,0.15179,4.286628782294417
2080.2,0.012878,39.715,14.158,0.11905,2.0087,0.294,1.2575,0.19864,0.15728,0.074279,0.073401,0.15271,4.335642705123841
2082.9,0.013311,39.602,14.132,0.11917,2.0305,0.29373,1.2373,0.19853,0.15726,0.074215,0.073419,0.15285,4.336916972704506
2090.8,0.012984,40.068,14.152,0.11908,2.0213,0.29387,1.2568,0.1987,0.15729,0.07428,0.073343,0.15259,4.347287287490962
2096.8,0.01186,39.252,13.903,0.11884,1.969,0.29456,1.3108,0.19937,0.15746,0.074284,0.07335,0.1528,4.350498823618086
2086.8,0.012012,37.631,14.293,0.1188,2.0393,0.29388,1.2677,0.1974,0.15724,0.074162,0.073745,0.15179,4.373994323579052
2093.7,0.011769,39.747,13.92,0.11879,1.9825,0.29474,1.3396,0.19961,0.15746,0.074352,0.073281,0.15282,4.393108007868434
