param_type,param_name,out_u_bound,out_l_bound,in_u_bound,in_l_bound,base
input,cp_tau_s,1,0,3.60192968343623,2.143389568994656,10
input,cp_b,1,0,0.9951476762131514,-8.607408556191047,10
input,cp_tau_0,1,0,2.6980483227062892,-1.2760930276265374,10
input,cp_n,1,0,1.2951729378922279,0.06959410517755463,10
input,average_strain,1,0,-0.5436187820146801,-5.4236932104119076,10
output,average_stress,1,0,3.870111155364401,-0.5839922595507111,10
output,g39_phi_1,1,0,-0.18054161573640873,-0.28364602163632685,10
output,g39_Phi,1,0,0.2791648430622707,0.27002632231229345,10
output,g39_phi_2,1,0,0.4470494441477784,0.4318942444093795,10
output,g50_phi_1,1,0,0.31043839481584795,0.16334030561825158,10
output,g50_Phi,1,0,0.34392038539322584,0.3361393986085567,10
output,g50_phi_2,1,0,0.5148000217377154,0.5027001753105627,10
output,g138_phi_1,1,0,-0.3276619604800976,-2.2977332165486684,10
output,g138_Phi,1,0,0.43049430544635836,0.4206652318731168,10
output,g138_phi_2,1,0,0.3652071002318231,0.31118148643301785,10
output,g164_phi_1,1,0,-0.4581462888183531,-0.7385705844405532,10
output,g164_Phi,1,0,0.38192693063722727,0.36114208775333284,10
output,g164_phi_2,1,0,0.5388626646733844,0.5274236586820639,10
output,g185_phi_1,1,0,-0.12259409626259743,-0.3529301477662135,10
output,g185_Phi,1,0,0.38932559181749277,0.3644384206399265,10
output,g185_phi_2,1,0,0.45848676379820685,0.4333377239630525,10
output,g223_phi_1,1,0,0.6703200851026617,0.6235697228466338,10
output,g223_Phi,1,0,0.4757002371510284,0.4498793386232017,10
output,g223_phi_2,1,0,0.7981601474457172,-10,10
output,g243_phi_1,1,0,0.391217483239402,0.3741248601797271,10
output,g243_Phi,1,0,0.35260695413652093,0.3410980386240491,10
output,g243_phi_2,1,0,0.5833348240345513,0.5741239073359846,10
output,g238_phi_1,1,0,-0.08063944646250307,-0.11685548409271768,10
output,g238_Phi,1,0,0.3082228192210218,0.27884502174716785,10
output,g238_phi_2,1,0,0.5386114313444779,0.5261453526347114,10
