Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
430.89,12.727,87.607,2.289,0.043651,0.10155,0.086429,0.14246,0.22653,0.10389,0.27326,0.11425,0.11873,1.2107504404816183
427.68,12.169,86.929,2.3391,0.043676,0.10125,0.084396,0.14197,0.22617,0.10257,0.27967,0.11422,0.11836,1.2122920662056644
427.59,12.167,86.924,2.3377,0.043676,0.10126,0.08445,0.14198,0.22618,0.10261,0.27964,0.11422,0.11837,1.2123803324203366
418.37,12.086,86.466,2.4336,0.043716,0.10086,0.080853,0.14113,0.22552,0.10026,0.28826,0.11421,0.11778,1.2125973672768597
418.57,12.47,86.538,2.4373,0.043716,0.10084,0.08074,0.14111,0.2255,0.10019,0.28877,0.11422,0.11776,1.2128368685757733
427.21,12.463,86.925,2.3361,0.043675,0.10126,0.084517,0.142,0.22619,0.10265,0.28017,0.11423,0.11838,1.213057313230479
426.25,12.361,87.253,2.3488,0.043679,0.10126,0.084083,0.14189,0.22611,0.10236,0.2812,0.11422,0.11831,1.2131016580192422
414.04,12.096,86.593,2.4589,0.043724,0.10078,0.079991,0.14093,0.22536,0.099675,0.29086,0.1142,0.11764,1.213176531845572
419.75,12.149,86.345,2.4303,0.043715,0.10084,0.080945,0.14116,0.22554,0.10033,0.28868,0.11422,0.11779,1.2132246602180035
426.29,12.588,86.944,2.3465,0.04368,0.10122,0.084125,0.1419,0.22612,0.10239,0.28132,0.11423,0.11831,1.2132828314556012
