Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1872.2,0.17935,151.49,5.8409,0.1293,0.10051,0.061253,0.034733,0.11097,0.18161,0.13395,0.21847,0.046881,1.0176806843581632
1872.4,0.17912,151.46,5.8654,0.12938,0.10054,0.061104,0.034614,0.11095,0.18324,0.13394,0.21847,0.046903,1.0191537897150458
1875.7,0.17904,151.15,5.872,0.12942,0.10055,0.061058,0.034582,0.11094,0.18387,0.13395,0.21847,0.0469,1.019731359517902
1860.8,0.17971,151.83,5.8954,0.12945,0.10059,0.060941,0.034484,0.11095,0.18442,0.13393,0.21847,0.046926,1.0201563422673414
1858.4,0.1796,151.8,5.8441,0.12929,0.10052,0.061238,0.034714,0.11098,0.1845,0.13393,0.21848,0.046896,1.0205411371838407
1861.1,0.17963,151.97,5.8876,0.12942,0.10058,0.06099,0.034519,0.11096,0.18488,0.13393,0.21847,0.046926,1.020674462658908
1877.7,0.17899,151.33,5.8909,0.12947,0.10057,0.060951,0.034496,0.11093,0.18605,0.13395,0.21847,0.046917,1.021807184377302
1879.4,0.17908,151.35,5.8733,0.12942,0.10055,0.061058,0.034581,0.11094,0.18594,0.13395,0.21847,0.046902,1.021814665647355
1879.1,0.17877,151.56,5.877,0.12942,0.10055,0.061036,0.034558,0.11095,0.18598,0.13394,0.21847,0.046918,1.021823524278985
1860.4,0.17958,152.15,5.8946,0.12944,0.10059,0.060952,0.034487,0.11096,0.18633,0.13392,0.21847,0.046936,1.0220811232475966
