Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
396.76,0.11274,277.47,416.5,32.423,4.3999,64.285,5.017,0.22248,0.10725,0.0583,0.64811,0.043763,0.11901,0.077468,0.1242,0.14438,1.5449617303177
587.66,141.03,278.14,345.21,332.52,1.8095,75.734,10.61,0.2228,0.13945,0.037707,0.6933,0.052164,0.12756,0.048829,0.11318,0.13892,1.5739074736539478
582.22,240.0,242.02,523.97,379.29,1.7922,76.012,2.8631,0.21938,0.12125,0.061632,0.77141,0.049985,0.10461,0.090911,0.11111,0.14549,1.6757780234520803
484.37,8.8514,277.49,418.85,51.62,13.95,40.017,4.6263,0.22131,0.11621,0.044234,0.81671,0.047458,0.10776,0.075464,0.11253,0.14289,1.6845638610592268
416.79,10.97,284.96,419.76,361.28,1.5837,72.0,1.968,0.21927,0.11333,0.083048,0.77606,0.05063,0.1055,0.098142,0.11582,0.14767,1.709472899520086
604.98,62.023,275.51,328.15,344.33,0.86014,76.549,16.145,0.22655,0.14402,0.037293,0.81925,0.054812,0.1573,0.040118,0.11904,0.13932,1.7377014944139304
650.43,118.87,277.17,279.39,324.83,1.8121,76.011,11.564,0.22386,0.14101,0.038093,0.85836,0.053754,0.12532,0.047089,0.11471,0.13933,1.7415318049016628
607.55,52.995,277.24,323.14,331.64,0.78723,82.099,15.888,0.22642,0.1432,0.037761,0.80654,0.055877,0.17336,0.04079,0.11861,0.1394,1.7419656123500908
603.63,133.26,276.87,342.31,324.11,1.8382,75.747,11.809,0.22347,0.14091,0.036843,0.8543,0.052446,0.15422,0.04534,0.11405,0.13873,1.7603011649492848
650.4,112.34,276.76,339.68,331.32,1.8522,74.91,12.254,0.22371,0.14144,0.037726,0.87985,0.05322,0.14588,0.046084,0.11492,0.13914,1.7819553340872176
