Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g59),Error (g237),Error (curve),Error (g63),Error (g86),Reduced Error
72.722,0.00047002,2.8628,16.325,0.059614,0.076332,0.12187,0.52004,0.15878,0.07625,1.0128892773941574
73.064,0.00049113,2.8584,16.325,0.059554,0.07624,0.12177,0.52187,0.15833,0.075936,1.0137065134075511
68.114,0.00050817,2.9074,16.44,0.059682,0.076487,0.12167,0.53031,0.15731,0.075391,1.020854131886135
63.775,0.0004692,3.1147,16.328,0.060158,0.076801,0.12204,0.53088,0.15755,0.075896,1.0233293433596007
70.944,0.00048393,3.0823,16.325,0.059809,0.076392,0.1219,0.53662,0.15813,0.07604,1.028893056957244
84.037,0.00047261,2.6628,16.319,0.059061,0.075825,0.12158,0.53606,0.16009,0.076675,1.0292885999530825
72.317,0.00053805,2.8166,16.159,0.059566,0.075987,0.12177,0.55022,0.15723,0.075275,1.040044473715094
60.168,0.00048747,2.854,16.32,0.060105,0.076884,0.12195,0.57494,0.15668,0.075247,1.0658115229083749
81.206,0.047739,30.533,19.572,0.058938,0.069851,0.11014,0.67149,0.11297,0.054064,1.0774534069736852
85.07,0.04834,30.18,19.676,0.058601,0.069763,0.10945,0.67475,0.11331,0.053969,1.0798445772162175
