Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
344.47,766.75,85.762,2.3074,0.10943,0.14213,0.043346,0.11971,0.22435,0.11688,0.098284,0.29048,0.096146,1.240758009397067
346.38,767.93,84.844,2.315,0.10925,0.14205,0.043358,0.11962,0.22432,0.11691,0.098009,0.29768,0.096063,1.247265366501913
341.03,769.28,85.842,2.336,0.10885,0.14195,0.043322,0.11947,0.22413,0.11687,0.097557,0.30371,0.096007,1.2518734011700023
338.43,768.93,85.781,2.3711,0.10807,0.14173,0.043329,0.11916,0.22388,0.11687,0.096583,0.30653,0.095785,1.2519460220702145
335.31,769.06,85.317,2.4078,0.10728,0.1415,0.043358,0.11879,0.22362,0.11692,0.095541,0.3095,0.095754,1.2522643215654206
347.15,768.65,85.32,2.3326,0.10889,0.14195,0.043331,0.11954,0.22421,0.11687,0.097518,0.30534,0.095994,1.253643424924341
340.79,765.43,86.687,2.3325,0.10889,0.14199,0.043321,0.11952,0.22415,0.11684,0.097628,0.30639,0.096045,1.254773739754133
339.37,769.15,86.022,2.3444,0.10866,0.14191,0.043318,0.11939,0.22406,0.11687,0.097351,0.30838,0.095963,1.2558997630662991
337.18,777.88,85.447,2.3999,0.10756,0.14156,0.043288,0.11898,0.22367,0.1169,0.09595,0.31772,0.095734,1.2613709652649219
340.72,777.32,84.783,2.3953,0.10762,0.14156,0.04331,0.119,0.22374,0.11692,0.095951,0.31818,0.09575,1.2620354648438508
