Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
210.82,0.515,458.45,1.1155,0.19276,0.12616,1.8512,0.17296,0.2508,0.19359,0.19747,0.10844,0.12914,3.222479453789052
195.48,0.14794,443.99,1.3844,0.18705,0.11993,1.935,0.1679,0.25282,0.18338,0.20029,0.10963,0.1256,3.2815578282320894
1993.1,0.0011825,74.559,19.191,0.12998,0.12526,1.7533,0.15377,0.27118,0.17418,0.2863,0.26477,0.18086,3.3396361167040354
1930.7,0.001111,73.997,19.995,0.1304,0.12517,1.7432,0.15389,0.27173,0.17457,0.27924,0.27996,0.18232,3.340472627495614
1992.9,0.0012337,73.783,19.191,0.12993,0.12525,1.751,0.1536,0.27103,0.17422,0.28465,0.27846,0.18064,3.348790901915627
1988.1,0.0011776,70.215,19.831,0.13037,0.12512,1.7343,0.15331,0.27099,0.17451,0.27695,0.30227,0.1813,3.349164622754658
1928.2,0.0012885,71.833,19.978,0.13017,0.12514,1.7059,0.1532,0.27124,0.17469,0.27471,0.33273,0.1814,3.34920376171035
1960.9,0.0011535,74.419,19.153,0.12999,0.12531,1.7548,0.15399,0.27133,0.17417,0.28855,0.27135,0.18098,3.3504884377332775
1988.2,0.0012869,73.521,19.92,0.13017,0.12505,1.7493,0.15305,0.27109,0.17458,0.27422,0.29436,0.18133,3.3531287481978995
1926.8,0.0013019,72.046,19.859,0.13009,0.12516,1.7102,0.15324,0.27122,0.17465,0.27584,0.33384,0.18124,3.3555142165768093
