Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
256.1,51.331,65.372,15.998,5.6031e-05,0.073824,0.076517,0.059047,0.20946,0.061386,0.1333,0.6135357431962005
256.1,50.652,65.372,15.999,5.6032e-05,0.07382,0.076486,0.059064,0.20959,0.06138,0.13332,0.6136648629984534
256.08,50.708,65.377,15.995,5.6032e-05,0.073819,0.07649,0.059063,0.20963,0.061381,0.13332,0.6137009044686368
256.14,50.651,65.346,15.999,5.6033e-05,0.073826,0.076481,0.059066,0.20964,0.061379,0.13333,0.613723174823477
256.09,50.642,65.354,16.0,5.6014e-05,0.073823,0.076484,0.059065,0.20966,0.06138,0.13332,0.6137386565515149
256.04,50.147,65.405,16.0,5.6025e-05,0.07381,0.076469,0.059076,0.20974,0.061376,0.13333,0.6138026297915017
256.14,50.194,65.354,15.998,5.6007e-05,0.073823,0.076462,0.059078,0.20976,0.061376,0.13333,0.6138327168902966
256.33,50.547,65.359,15.985,5.6406e-05,0.073827,0.076467,0.05907,0.21003,0.061382,0.13335,0.6141250514724361
256.1,50.651,65.354,16.0,5.6397e-05,0.073819,0.076482,0.059064,0.21043,0.061382,0.13334,0.614518481618921
257.27,51.326,65.371,15.999,5.6031e-05,0.07387,0.076467,0.059062,0.21085,0.061374,0.13334,0.6149649447906315
