300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.79,105.28,92.664,1.0,1.0
300.79,105.28,92.664,1.0,1.0
300.79,105.28,92.664,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
300.81,105.27,92.676,1.0,1.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.49,106.75,6.0,2.0
298.07,127.51,106.78,6.0,2.0
298.07,127.51,106.78,6.0,2.0
298.07,127.51,106.78,6.0,2.0
297.5,113.89,109.48,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.5,113.89,109.48,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.5,113.89,109.48,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.48,113.89,109.45,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.45,113.88,109.41,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.49,113.88,109.45,7.0,3.0
297.49,113.88,109.43,7.0,3.0
297.49,113.88,109.43,7.0,3.0
297.49,113.88,109.43,7.0,3.0
297.49,113.88,109.43,7.0,3.0
297.49,113.88,109.43,7.0,3.0
297.49,113.88,109.43,7.0,3.0
297.49,113.88,109.43,7.0,3.0
297.49,113.88,109.43,7.0,3.0
297.49,113.88,109.43,7.0,3.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.55,152.56,36.887,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.55,152.56,36.887,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.55,152.56,36.887,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.55,152.56,36.887,8.0,4.0
293.55,152.56,36.887,8.0,4.0
293.55,152.56,36.887,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.42,152.59,36.755,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.35,152.56,36.652,8.0,4.0
293.35,152.56,36.652,8.0,4.0
293.35,152.56,36.652,8.0,4.0
293.55,152.56,36.887,8.0,4.0
293.55,152.56,36.887,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.45,152.6,36.806,8.0,4.0
293.55,152.56,36.887,8.0,4.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.41,118.13,130.83,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
298.42,118.12,130.82,9.0,5.0
316.86,142.27,92.853,10.0,6.0
316.87,142.27,92.859,10.0,6.0
316.86,142.27,92.853,10.0,6.0
316.87,142.27,92.859,10.0,6.0
316.86,142.27,92.853,10.0,6.0
316.87,142.27,92.859,10.0,6.0
316.92,142.19,92.887,10.0,6.0
316.87,142.27,92.859,10.0,6.0
316.92,142.19,92.887,10.0,6.0
316.89,142.29,92.893,10.0,6.0
316.87,142.27,92.859,10.0,6.0
316.92,142.19,92.887,10.0,6.0
316.89,142.29,92.893,10.0,6.0
316.87,142.27,92.859,10.0,6.0
316.92,142.19,92.887,10.0,6.0
316.89,142.29,92.893,10.0,6.0
316.91,142.23,92.893,10.0,6.0
316.94,142.31,92.945,10.0,6.0
316.94,142.31,92.945,10.0,6.0
316.94,142.31,92.945,10.0,6.0
316.94,142.19,92.882,10.0,6.0
316.91,142.23,92.893,10.0,6.0
316.94,142.19,92.882,10.0,6.0
316.91,142.23,92.893,10.0,6.0
316.94,142.19,92.882,10.0,6.0
316.94,142.18,92.882,10.0,6.0
