Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
943.07,0.26164,123.19,19.259,0.055868,0.21813,0.1301,0.070565,0.084494,0.062172,0.6213255847332974
939.7,0.262,123.33,19.215,0.05587,0.21824,0.13008,0.070535,0.084514,0.062181,0.6214268512983059
944.88,0.25954,123.31,19.242,0.055861,0.21887,0.13004,0.070515,0.084531,0.062189,0.6220041469357241
942.07,0.26254,123.3,19.16,0.055873,0.21946,0.13006,0.070531,0.084517,0.06218,0.6226219468219335
950.48,0.26138,122.18,19.257,0.055858,0.21972,0.1301,0.070648,0.084452,0.062174,0.6229516320246937
947.84,0.25736,123.52,19.251,0.055854,0.22087,0.12998,0.070467,0.084564,0.062198,0.6239363118648947
943.28,0.26196,122.39,19.215,0.05586,0.22072,0.13009,0.07061,0.084479,0.062189,0.623951050166584
939.67,0.26176,123.32,19.417,0.055864,0.22075,0.13013,0.070578,0.084481,0.06215,0.6239539653891737
939.78,0.26199,123.54,19.414,0.055867,0.22079,0.13013,0.070561,0.084489,0.062145,0.623977838019804
948.03,0.26309,122.13,19.227,0.055864,0.22088,0.13012,0.070668,0.084438,0.06217,0.6241388869397535
