Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
239.9,0.012459,41.959,15.991,1.121e-06,0.27305,0.033106,0.033778,0.027662,0.33129,0.018665,0.11959162480685676
239.9,0.012459,41.959,15.96,1.121e-06,0.27304,0.033084,0.03379,0.027668,0.33204,0.018657,0.11971356831373896
239.08,0.012361,41.641,15.528,1.0794e-06,0.273,0.032748,0.033982,0.027749,0.33332,0.018567,0.11989336944896035
239.28,0.01234,41.054,15.424,1.1229e-06,0.27321,0.032688,0.034021,0.02776,0.34931,0.018574,0.12259289558848895
354.51,0.68814,68.134,8.8151,8.5144e-05,0.27277,0.033579,0.032847,0.028305,0.37631,0.018037,0.12697460192520976
233.94,0.012539,42.64,15.858,1.1082e-06,0.27224,0.033116,0.033744,0.027749,0.3783,0.018556,0.12728483580469013
341.42,0.67229,69.869,8.6389,8.7792e-05,0.27197,0.033724,0.032728,0.028388,0.38588,0.017908,0.12843127152856995
346.67,0.69301,68.458,8.7028,8.5049e-05,0.27241,0.033659,0.032787,0.028351,0.38779,0.017982,0.1288296659581167
377.15,0.69063,66.683,8.9079,8.5598e-05,0.27386,0.033367,0.032982,0.028226,0.38713,0.018141,0.12895128919750762
340.39,0.67653,70.518,8.5965,9.0109e-05,0.27183,0.033764,0.032695,0.028402,0.39277,0.017881,0.12955680356466634
