param_type,param_name,in_l_bound,out_l_bound,in_u_bound,out_u_bound,base
input,cp_tau_s,1.7139690953035223,0,3.274065436350914,1,10
input,cp_b,-0.36874906807196906,0,1.2972570065900924,1,10
input,cp_tau_0,1.4806966643544792,0,2.6624083672948644,1,10
input,cp_n,0.31281182621208803,0,1.2669369111591728,1,10
input,average_strain,-2.125355859561995,0,-0.5435125028841763,1,10
output,average_stress,2.5651155098193765,0,3.777027871315205,1,10
output,g59_phi_1,0.22693484001260017,0,0.2831428633032418,1,10
output,g59_Phi,0.3400473176613932,0,0.3653007486379873,1,10
output,g59_phi_2,0.6327912364394737,0,0.6498409160691588,1,10
output,g63_phi_1,0.26965301662097,0,0.3270931670485125,1,10
output,g63_Phi,0.44284022496388326,0,0.4866571313388806,1,10
output,g63_phi_2,0.574968332142999,0,0.6055851457844229,1,10
output,g86_phi_1,0.3126004392612593,0,0.32707271666911936,1,10
output,g86_Phi,0.2543063323312855,0,0.2855123020662439,1,10
output,g86_phi_2,0.5570618518720246,0,0.5728716022004802,1,10
output,g237_phi_1,0.33495611613685183,0,0.3373793836958193,1,10
output,g237_Phi,0.3397296186846042,0,0.3646822956496714,1,10
output,g237_phi_2,0.6124977637028778,0,0.6233630192983596,1,10
output,g303_phi_1,0.40329214515825423,0,0.4200383061331779,1,10
output,g303_Phi,0.3008779659885696,0,0.32582341900274453,1,10
output,g303_phi_2,0.650132604227013,0,0.670468511106124,1,10
