Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1997.9,0.12271,124.33,8.6478,0.065339,0.089588,0.12822,0.066635,0.17669,0.055044,0.581512699509085
1998.9,0.1227,124.37,8.6477,0.065338,0.08959,0.12822,0.066635,0.1767,0.055044,0.5815251770699533
2000.0,0.1227,124.38,8.6469,0.065336,0.089593,0.12822,0.066636,0.17678,0.055042,0.5816038916010492
1997.6,0.12237,124.74,8.5999,0.065234,0.089684,0.12817,0.066676,0.17689,0.055038,0.581693387430151
2000.0,0.12176,125.1,8.7566,0.06547,0.089468,0.12823,0.066545,0.17688,0.055105,0.5817024267601866
2000.0,0.12271,124.35,8.6073,0.065268,0.089655,0.1282,0.066672,0.1769,0.055028,0.5817248546018616
1992.3,0.1228,124.62,8.665,0.065363,0.089561,0.12821,0.066615,0.17695,0.055062,0.581759282629365
1998.9,0.1223,124.41,8.704,0.06542,0.089514,0.12823,0.066591,0.17695,0.055068,0.5817743889071824
2000.0,0.12251,124.59,8.7548,0.065508,0.089434,0.12826,0.066546,0.17727,0.055087,0.5821028961882926
1995.8,0.12218,125.05,8.8032,0.065564,0.089378,0.12826,0.066501,0.17736,0.055121,0.5821833852992551
