Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
441.67,10.891,93.212,1.9039,0.044251,0.10564,0.10087,0.14786,0.22909,0.11364,0.46152,0.11777,0.12105,1.4416865550292646
443.85,11.091,93.08,1.9017,0.044245,0.10574,0.10104,0.14792,0.22913,0.11376,0.465,0.11779,0.12111,1.4457397365766196
436.92,6.9554,95.53,1.9287,0.044126,0.10552,0.098072,0.14723,0.22855,0.11195,0.48033,0.11733,0.12044,1.4535483724377785
441.67,8.0835,94.051,1.8965,0.044236,0.10595,0.10024,0.14788,0.22898,0.11339,0.47467,0.11773,0.12089,1.4539659982509006
440.27,12.512,93.252,1.9022,0.044263,0.10543,0.10145,0.14795,0.22917,0.11395,0.47328,0.11783,0.12122,1.4545398656760675
441.64,12.295,93.796,1.8999,0.044252,0.10559,0.1015,0.148,0.22918,0.11399,0.47582,0.11783,0.12125,1.4574113132761215
441.22,5.9735,96.96,1.8894,0.044135,0.1063,0.099697,0.14791,0.22882,0.11312,0.49519,0.11761,0.12086,1.4736467587798354
441.66,11.378,93.238,1.9172,0.044222,0.10541,0.10036,0.14766,0.22899,0.11328,0.49598,0.11765,0.12094,1.4744850913670096
440.22,12.382,89.829,1.9275,0.044255,0.10491,0.10012,0.14745,0.22896,0.11309,0.50166,0.11766,0.12084,1.4789491521031586
441.76,10.246,100.18,1.849,0.04427,0.10688,0.10358,0.14892,0.22952,0.11539,0.49087,0.11818,0.12183,1.4794361886614797
