Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1954.0,0.16264,143.92,6.1464,0.13059,0.10059,0.058842,0.033022,0.11042,0.41267,0.13395,0.21824,0.047056,1.245388681724342
1957.7,0.16337,143.99,6.0776,0.13039,0.10051,0.059243,0.033299,0.11043,0.41751,0.13399,0.21817,0.046916,1.2504554907831475
1956.5,0.16324,143.14,6.1444,0.13061,0.10062,0.058873,0.033055,0.11041,0.41784,0.13397,0.21823,0.047003,1.250620451187977
1992.5,0.15721,144.16,6.0413,0.12986,0.10024,0.059526,0.033495,0.11061,0.41862,0.13381,0.21828,0.047213,1.2516421491258474
1964.2,0.16291,144.0,5.7734,0.12934,0.099978,0.061002,0.034642,0.11049,0.41849,0.1341,0.21801,0.046529,1.2525824072448732
1971.5,0.1629,142.51,5.9891,0.13005,0.10037,0.059787,0.033718,0.11046,0.42191,0.13402,0.21812,0.046766,1.2552067172554497
1946.8,0.16465,142.86,6.1443,0.13073,0.10066,0.058839,0.033046,0.11036,0.42278,0.13402,0.21821,0.046923,1.2555646347154583
1971.4,0.16171,142.56,5.8622,0.1296,0.10012,0.060465,0.034254,0.11047,0.42301,0.13407,0.21806,0.046615,1.2566526007701362
1969.3,0.15529,146.18,5.8674,0.12933,0.099861,0.060321,0.034088,0.11056,0.42544,0.13386,0.21821,0.047064,1.258746722919121
1944.7,0.16365,142.59,6.17,0.13078,0.10068,0.058669,0.032935,0.11036,0.42744,0.13399,0.21825,0.047007,1.2601241684320528
