Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
422.01,1.0707,88.818,3.2038,0.055485,0.13541,0.052529,0.11696,0.4331,0.073859,0.8673444958493941
416.79,1.0982,85.445,3.2085,0.055285,0.13509,0.05243,0.11655,0.44993,0.07385,0.8831277349950982
412.6,1.1002,81.948,3.0235,0.056579,0.13664,0.052764,0.12042,0.45794,0.074708,0.8990616002382124
411.23,1.1004,80.501,3.1652,0.055382,0.13527,0.05235,0.11708,0.47988,0.074025,0.913982222093736
412.65,1.0873,79.225,3.0243,0.056537,0.13665,0.052715,0.12032,0.47754,0.07468,0.9184401702852457
411.09,1.0989,81.909,3.024,0.056538,0.13662,0.052741,0.12037,0.48436,0.074709,0.9253388808448277
414.37,1.1008,74.366,3.0224,0.056512,0.13651,0.052661,0.12024,0.49147,0.074668,0.9320687667312811
413.29,1.1324,81.367,3.0236,0.056577,0.13646,0.05277,0.12044,0.49208,0.074728,0.933056669538099
407.48,1.1226,83.553,3.1376,0.055491,0.13534,0.052376,0.11763,0.50252,0.074204,0.9375575731192726
408.14,1.1228,81.96,3.009,0.05661,0.1366,0.052781,0.12073,0.50138,0.074824,0.9429229436453785
