Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
422.65,0.13407,86.295,2.4318,0.044137,0.10148,0.080028,0.14091,0.2257,0.09973,0.37047,0.11457,0.1175,1.2945280217488053
417.73,0.14483,86.365,2.4261,0.044172,0.10137,0.080206,0.14092,0.22573,0.099818,0.37246,0.11461,0.11747,1.2967588930395733
420.1,0.14243,86.569,2.4122,0.044138,0.10156,0.080745,0.14106,0.22582,0.10017,0.37339,0.11457,0.1176,1.29906474866151
421.77,0.16554,82.708,2.5156,0.044319,0.10054,0.076393,0.14001,0.22523,0.097557,0.38577,0.11484,0.11685,1.3015089762779484
414.1,0.13023,85.983,2.4562,0.04419,0.10115,0.079091,0.14067,0.22554,0.099059,0.3842,0.11464,0.11724,1.3057690774528496
420.31,0.13276,85.933,2.4233,0.044126,0.1016,0.080287,0.14098,0.22575,0.099882,0.38163,0.11457,0.11751,1.3063415023406426
417.81,0.14025,85.599,2.4294,0.044163,0.10144,0.079985,0.14089,0.22571,0.099692,0.38598,0.11461,0.11742,1.3098980662747497
419.39,0.15011,86.365,2.4363,0.044192,0.10123,0.079837,0.14082,0.22568,0.099606,0.38652,0.11462,0.11742,1.3099277319551084
417.71,0.56593,84.398,2.5465,0.044085,0.10072,0.075454,0.13978,0.22498,0.096834,0.39676,0.11464,0.11707,1.3103204291195385
417.67,0.1735,86.387,2.4185,0.044202,0.10123,0.08047,0.14092,0.22579,0.10003,0.38553,0.11462,0.11753,1.3103310076269798
