Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1665.8,0.15398,111.59,10.831,0.2062,0.085797,0.069188,0.065684,0.12842,0.055182,0.6104710137710625
1658.5,0.15248,112.57,10.774,0.20935,0.085936,0.069037,0.065751,0.12832,0.055163,0.6135524215993761
1651.6,0.15508,111.18,11.161,0.21093,0.085346,0.069228,0.065679,0.12806,0.055244,0.6144839386412639
1757.3,0.14086,114.97,11.103,0.21055,0.086187,0.068675,0.065345,0.12874,0.055374,0.6148650945332386
1655.0,0.15215,112.72,10.75,0.21547,0.085971,0.069007,0.065779,0.12828,0.05515,0.6196589925156752
1742.4,0.13947,116.96,10.765,0.21679,0.086587,0.068516,0.065483,0.12873,0.055306,0.6214043099040889
1743.3,0.13934,116.92,10.766,0.21682,0.086586,0.068521,0.065482,0.12873,0.055306,0.6214546047391238
1680.1,0.14833,115.12,10.773,0.2178,0.086218,0.068722,0.065673,0.12833,0.055228,0.6219617894261621
1752.9,0.13704,117.51,10.839,0.2218,0.086598,0.068416,0.065472,0.12866,0.055341,0.6262893375676185
1742.4,0.13947,117.09,10.982,0.22497,0.086361,0.068477,0.065457,0.12852,0.05537,0.6291563961346562
