Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1929.4,0.19793,64.346,3.722,0.066936,0.52609,0.070212,0.14656,0.12034,0.053606,0.9837411766208946
1929.0,0.19717,63.474,3.5582,0.068099,0.52666,0.070793,0.1476,0.12257,0.053833,0.9895577095704068
1778.0,0.19806,65.4,3.5718,0.066371,0.53681,0.070597,0.14596,0.12066,0.053404,0.9938001578425038
1765.2,0.19863,65.242,3.5719,0.066252,0.53998,0.070568,0.14584,0.12051,0.053368,0.9965099028596347
1830.8,0.19761,67.692,3.9829,0.064117,0.55576,0.069475,0.14367,0.11596,0.053448,1.002429298175844
1752.4,0.1951,65.024,3.5081,0.066536,0.5455,0.0708,0.14613,0.12123,0.053407,1.003605612219803
1799.0,0.20361,67.71,4.051,0.063476,0.55967,0.069264,0.14294,0.11485,0.053462,1.003659864882855
1929.3,0.19788,69.066,4.2471,0.063819,0.56212,0.06902,0.14344,0.11463,0.053768,1.0067962961783512
1391.4,0.20765,74.856,3.9181,0.059714,0.57452,0.069792,0.13863,0.1109,0.053309,1.006865268463519
1798.2,0.20175,67.604,4.0534,0.063423,0.56465,0.069266,0.1429,0.11477,0.053463,1.0084804654891237
