iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.2980947537933942,0.0889621029022977,0.32641227064289524
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.051735644052634894,0.08429955213351882,0.0785690248975998
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.16908676884744542,0.0781394872052648,0.19395934012621302
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.16377436843181303,0.07387169863565085,0.18728846041673033
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.1934716136911435,0.07223799642849935,0.21646568211244419
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.02284294654311165,0.07297785179589072,0.04607251824219917
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.0371599055095201,0.07288756116516779,0.06036073680821874
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.032737474881559765,0.07313566391832083,0.05601727973937644
9,494.02,0.50636,99.313,12.387,4.517e-06,0.020575031835146855,0.07317954002181101,0.043868802890471674
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.019839192946472715,0.07310645913998352,0.043109701634620815
11,455.66,0.58146,102.25,13.326,8.357e-06,0.02320325498082918,0.07314710923970719,0.04648670299759368
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.015940475008428497,0.07314048865700722,0.03922181562826729
