Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
542.95,1.0787,135.68,1.9429,0.17495,1.4483,0.24207,0.094204,0.1967,0.17189,0.092203,0.16811,0.10951,2.697955371918564
552.58,1.0725,134.37,1.928,0.17528,1.448,0.24193,0.094255,0.19682,0.17196,0.092313,0.16844,0.10971,2.698676563222625
548.83,1.0996,133.1,1.9229,0.17534,1.4492,0.24181,0.094418,0.19668,0.17199,0.092283,0.16854,0.10976,2.6999895241648475
555.27,1.0931,127.84,1.9281,0.17505,1.4511,0.24185,0.094558,0.19657,0.17208,0.091932,0.16849,0.10972,2.701350766645263
552.27,1.0736,134.5,1.9375,0.17507,1.4547,0.242,0.094225,0.19675,0.17195,0.09219,0.16827,0.10962,2.704810385560947
552.34,1.09,132.85,1.9357,0.17506,1.46,0.24194,0.094345,0.19664,0.172,0.092102,0.16833,0.10965,2.7101007073102856
513.67,1.1063,133.32,1.9666,0.17412,1.4669,0.24238,0.09417,0.19634,0.17177,0.09182,0.16741,0.10906,2.714009771889031
509.73,1.1751,133.37,1.951,0.17447,1.4664,0.24204,0.094496,0.19609,0.17183,0.091929,0.16777,0.10925,2.714237640366546
552.52,1.1402,132.54,1.9084,0.17567,1.463,0.24156,0.094693,0.19658,0.17207,0.092371,0.16888,0.10997,2.7147767059349093
541.11,1.117,126.89,1.9238,0.17504,1.4664,0.2418,0.094681,0.19644,0.17205,0.091947,0.16848,0.10969,2.71653734677279
