Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1970.2,0.17332,153.44,5.395,0.12722,0.10024,0.064451,0.036762,0.11139,0.27134,0.13404,0.21853,0.046968,1.1109355753705419
1969.9,0.17323,153.45,5.3992,0.12724,0.10024,0.064414,0.036749,0.11138,0.27146,0.13403,0.21853,0.046959,1.1110118812097802
1970.2,0.17318,153.16,5.3946,0.12724,0.10023,0.064439,0.036781,0.11137,0.27148,0.13404,0.21853,0.046946,1.1110546555018341
1969.6,0.17355,153.44,5.36,0.127,0.10023,0.064749,0.036844,0.11143,0.27187,0.13409,0.21854,0.047059,1.111819479788143
1970.5,0.17398,152.9,5.3406,0.12693,0.10021,0.064892,0.036937,0.11142,0.27187,0.13412,0.21854,0.047054,1.1119826567639333
1970.7,0.17383,152.96,5.3401,0.12692,0.10022,0.064898,0.036928,0.11142,0.27201,0.13412,0.21855,0.047066,1.1121302640199682
1969.6,0.17391,152.9,5.3409,0.12693,0.10022,0.064887,0.036935,0.11142,0.27212,0.13412,0.21855,0.047054,1.112225118887264
1970.6,0.17503,153.21,5.2247,0.12632,0.10012,0.065796,0.037513,0.11145,0.27184,0.13425,0.21855,0.047093,1.112932393528448
1971.2,0.17335,153.41,5.4094,0.12731,0.10024,0.064331,0.036733,0.11137,0.27362,0.13402,0.21852,0.046927,1.1130752055906343
1979.9,0.17275,154.08,5.3813,0.12705,0.10027,0.064617,0.036715,0.11144,0.2733,0.13407,0.21854,0.0471,1.113109948132285
