iteration,cp_lh_0,cp_lh_1,cp_lh_2,cp_lh_3,cp_lh_4,cp_lh_5,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,892.3452159870509,364.35725334905317,96.99861510887136,43.32324411680649,104.50196401725165,832.1205406459192,290.38022298554114,7.739189052644333,1.5025637213243015,0.09411728816504736,1.5325221846080448
2,754.8484859480626,979.783840768433,340.78396780234795,973.1321451574686,169.30469779602834,257.6159066249851,177.56956483719975,10.25988768152399,0.9356994769405641,0.1609495554126348,0.9869313116052916
3,660.6350331644009,779.6317388931582,33.28723883056339,338.7208199029674,806.40107256333,891.0456142151619,53.45354423189153,8.174377071946239,0.321116330374048,0.09648722308617083,0.35182916737279707
4,941.1105648806712,875.8281389591843,901.9129062613936,582.9933088255815,997.8901863925739,57.652434395371905,136.62606945431804,19.561908081137638,1.2847070474767277,0.22093737154887616,1.3550335970681964
5,720.5179902094673,527.7003344247771,581.4476683168624,789.858984458383,423.64696255485245,67.7703417351188,240.74947291499782,4.837535596095291,1.3394842027651985,0.09453926956507065,1.369576986900355
6,322.69886646486907,406.5156937833656,552.0017293313733,824.9708480632454,361.58745277571467,483.00331036397836,75.27061541192853,11.373954133554081,0.2656669759198898,0.13463707443312636,0.3085232877588168
7,129.31168755255618,609.9428217694978,146.84003640938957,922.8843500954192,679.1277942630566,946.0449646293504,395.0970732880479,3.170098860419112,2.197941203210964,0.09955842912579024,2.2296316354546315
8,501.95205881568927,213.86109394655406,952.3536264039308,465.1749621503997,741.2599611561549,628.2874393333676,476.36535056160653,16.21199905494635,3.430579182340927,0.21023981498137534,3.49750059391895
9,243.6409508379204,460.3388683210564,310.0588049859942,299.2657880984076,597.6939137883165,623.7708023997229,356.966652861272,5.787245502883772,2.1308426506828733,0.09298163928018494,2.1604396256993312
10,822.436141941578,250.46259816840387,711.3774417470382,233.31392219322194,512.8023093164282,166.97916756577473,317.13746366047354,15.226627386612428,2.097096732083618,0.22024589720770005,2.1672031785562478
11,303.4589336355867,684.0184949327116,441.7683639145299,695.730821916978,843.4497633309579,523.6874601392939,214.95993088220857,16.484875468966237,1.5314991068049029,0.1542423207006066,1.5805959623518366
12,100.8723647586087,123.16154967922613,220.08140362778894,68.34862669267264,221.75409396852007,420.4514426745109,275.68477663546025,17.6296704464114,1.3740824104139475,0.1925685188530491,1.4353788737326427
13,9.57416671387179,180.56976310753166,832.1503330521404,153.725730281405,486.9218288092761,799.4621052062657,14.446426956113603,3.685722143402792,0.27270135311697785,0.09522217714746326,0.30301151348695965
14,468.3813501781311,827.966655390508,377.44962218924223,626.8035904760841,267.2010608833834,326.09425378606693,464.41066372340055,13.552911538358801,2.988612973979573,0.21242653188604796,3.056230439166638
15,578.0673533778032,3.16743920656596,790.4941719007575,508.3226913673059,54.735220532204515,194.35406458941,406.4423786532712,2.083640443969581,1.6248488019236427,0.10610554124873324,1.6586232446819964
16,406.8483380563978,743.8559628051773,655.9535673262716,433.54246999394667,898.6761898297389,689.0127725120783,114.32216392242356,12.323093833768285,0.9378647426426958,0.09411998234954201,0.9678240635119989
17,0.6428,195.45,838.93,7.9514,442.71,846.11,7.0372,9.7727,0.30181230309578905,0.09833408853688894,0.33311301562595297
18,3.2214,11.673,814.07,672.59,368.19,948.0,30.088,5.6003,0.1795052480401749,0.09468007648816917,0.20964285241099662
19,7.0617e-06,14.054,811.22,485.92,411.31,775.31,12.055,2.3783,0.36314223750252284,0.10322517023121658,0.3959998296901238
20,65.016,2.3114,827.82,472.69,442.87,833.14,44.434,3.377,0.1261557925401335,0.09615764315387197,0.15676372098814406
21,131.97,4.2049,607.81,497.59,375.81,860.09,64.12,10.035,0.14056729009726918,0.09539212396282379,0.17093154621870565
22,97.662,0.31016,915.75,276.61,431.01,852.15,91.904,3.5934,0.2814272761729999,0.09512764508495555,0.31170734605292416
23,2.6365,0.0021747,773.14,652.71,654.45,838.33,46.955,1.1641,0.3026171565053664,0.12315234602448644,0.3418177657516875
24,182.59,0.0018125,810.46,525.31,427.85,844.55,73.603,4.8373,0.22675179168098622,0.0931661057339816,0.2564074841933569
25,81.586,0.010091,815.34,453.45,485.41,957.2,86.321,2.5764,0.1988512584543458,0.10163275556041185,0.23120196930932552
26,0.00037934,4.1259e-08,805.25,473.49,188.52,806.12,88.932,3.9166,0.10334258322199935,0.09403475652696225,0.13327477586941716
27,0.022613,4.4997e-07,795.67,473.94,179.44,794.36,82.578,3.1739,0.021098835404351975,0.09633956326144713,0.05176467082109931
28,0.019865,8.2956e-06,775.5,479.46,416.39,804.23,89.737,2.887,0.16783042152905317,0.09850916635679074,0.19918686306014333
