param_type,param_name,base,out_u_bound,in_u_bound,in_l_bound,out_l_bound
input,cp_tau_s,10,1,3.300399811671333,0.2540160608610366,0
input,cp_b,10,1,1.2664904083111441,-10.581914251787536,0
input,cp_tau_0,10,1,2.661291977065603,0.3523176109368268,0
input,cp_n,10,1,1.2992021176034219,0.0474695746198565,0
input,average_strain,10,1,-0.5408639423123824,-3.199413504561845,0
output,average_stress,10,1,3.70442508266649,0.6975954608488805,0
output,g51_phi_1,10,1,-0.07475496626937017,-0.13832224185770345,0
output,g51_Phi,10,1,0.35468455395472853,0.31743649653509903,0
output,g51_phi_2,10,1,0.5038995833791918,0.4852528169603249,0
output,g56_phi_1,10,1,0.33411181073114726,0.2879136470760337,0
output,g56_Phi,10,1,0.41859955912780855,0.4122588938981368,0
output,g56_phi_2,10,1,0.6901428978562444,0.6857686013476657,0
output,g72_phi_1,10,1,0.7981601474457172,-2.842724603545964,0
output,g72_Phi,10,1,0.4666155674923717,0.4608677867350885,0
output,g72_phi_2,10,1,0.2976948696930734,0.23103609914657056,0
output,g80_phi_1,10,1,0.16902750600893238,0.11590992187706076,0
output,g80_Phi,10,1,0.32901121570736847,0.3194392030460495,0
output,g80_phi_2,10,1,0.6352926956511322,0.6297357072328554,0
output,g126_phi_1,10,1,0.4479947926537286,0.4137187650610785,0
output,g126_Phi,10,1,0.3883499078703819,0.34962715406558736,0
output,g126_phi_2,10,1,0.7039959972462603,0.690399884712457,0
output,g223_phi_1,10,1,0.6701808896392732,0.6202714254390436,0
output,g223_Phi,10,1,0.4756857129806041,0.44994098877333755,0
output,g223_phi_2,10,1,0.7980218789328241,-2.3146524393447545,0
output,g237_phi_1,10,1,0.3362195045724291,0.3250022521650377,0
output,g237_Phi,10,1,0.36034723097576526,0.3373793836958193,0
output,g237_phi_2,10,1,0.6148761332650097,0.6046147994764449,0
output,g262_phi_1,10,1,0.2027606873931999,0.138649994851645,0
output,g262_Phi,10,1,0.3981136917305025,0.3780706940064422,0
output,g262_phi_2,10,1,0.6069829406244881,0.584625178418518,0
