Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1999.5,0.1408,109.89,3.8362,0.11416,0.11421,0.10145,0.076217,0.042684,0.14812,0.14269,0.24566,0.69214,1.677345003095784
1998.4,0.13986,110.04,3.8407,0.11417,0.11413,0.10124,0.076098,0.042612,0.1481,0.14266,0.24571,0.69442,1.679138864528774
1989.9,0.13815,115.2,3.8263,0.11416,0.11437,0.10311,0.07571,0.04282,0.14807,0.14289,0.24555,0.69834,1.6850165975002824
1992.6,0.14253,110.91,3.8891,0.11422,0.11352,0.099911,0.075432,0.042042,0.14784,0.14229,0.24598,0.73449,1.7157300546776573
1995.6,0.13958,109.9,3.9368,0.11429,0.11289,0.097744,0.074749,0.041471,0.14765,0.14194,0.24635,0.74662,1.7237066389443183
1986.7,0.13796,117.57,3.8156,0.11415,0.11454,0.10396,0.075652,0.042976,0.14806,0.143,0.24545,0.73714,1.7249270694293837
1994.0,0.14577,110.45,3.7239,0.11407,0.11587,0.10566,0.078107,0.044176,0.14868,0.14348,0.24481,0.75855,1.7533962472191027
1994.1,0.14262,116.02,3.7687,0.11408,0.11527,0.10539,0.076746,0.043659,0.1483,0.14329,0.24506,0.76341,1.7552250345947549
1987.4,0.13509,109.95,3.9234,0.11433,0.11295,0.097816,0.074724,0.041495,0.14772,0.14203,0.24636,0.78224,1.7596626223943561
1975.7,0.14621,112.06,3.7312,0.11412,0.11575,0.10589,0.077818,0.043986,0.14863,0.14343,0.24486,0.7706,1.7650692121317495
