Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3069.2,8.3325,422.07,6.9126,0.12288,0.072309,0.11927,0.15901,0.57121,0.14057,0.57193,0.12376,0.056717,1.9376703010703242
3045.4,7.9256,426.1,7.0752,0.12321,0.070986,0.11824,0.16003,0.64374,0.14024,0.55291,0.13242,0.05723,1.9990004740338498
2967.8,7.5003,427.59,7.258,0.12334,0.070236,0.11746,0.16015,0.53541,0.14077,0.68079,0.14147,0.057578,2.0271966673789867
2965.8,7.8911,430.42,7.3199,0.12267,0.07017,0.1172,0.16029,0.64795,0.14143,0.62934,0.14497,0.057432,2.09145785509933
3075.0,8.8164,420.68,7.1235,0.12181,0.071345,0.11759,0.16045,0.52818,0.14181,0.76219,0.13917,0.056931,2.0994797071503553
2899.2,7.6122,426.28,7.3062,0.12251,0.070832,0.1172,0.1603,0.43459,0.14179,0.91652,0.14546,0.057437,2.166640981451156
2990.7,7.8992,421.76,7.0048,0.12268,0.072204,0.11875,0.1596,0.42213,0.14067,0.96274,0.12869,0.056964,2.1844276675822627
2907.8,9.1437,456.76,6.4002,0.13435,0.06894,0.12114,0.15665,0.486,0.13394,0.94414,0.10625,0.060492,2.2118975449947076
2965.8,6.8461,397.45,7.2399,0.12339,0.07024,0.11622,0.16094,0.84301,0.14155,0.58197,0.15169,0.058478,2.247479932167257
2956.5,6.8175,401.87,7.2454,0.12351,0.070233,0.11644,0.16079,0.826,0.14132,0.64266,0.14999,0.05838,2.289320769680415
