Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
234.77,335.07,62.782,15.968,3.6281e-05,0.13018,0.056116,0.063026,0.087134,0.18662,0.069731,0.5928085590566318
234.24,343.92,63.407,15.967,4.4729e-05,0.13041,0.05597,0.063106,0.088393,0.18809,0.069266,0.5952413317734712
234.37,335.55,64.018,15.873,4.6894e-05,0.13041,0.055969,0.063131,0.08847,0.19132,0.069167,0.5984662219189328
234.56,335.56,64.324,15.873,4.6909e-05,0.13039,0.055976,0.063131,0.088448,0.19362,0.069163,0.6007327807949027
234.48,335.59,64.372,15.997,4.8876e-05,0.13045,0.055938,0.06315,0.088777,0.19447,0.069028,0.6018157311528659
232.04,382.3,63.043,15.835,4.7192e-05,0.13032,0.055691,0.063389,0.08996,0.19654,0.068634,0.6045357807241412
231.3,335.33,64.801,15.997,4.6832e-05,0.13029,0.055958,0.063159,0.088693,0.20038,0.069009,0.6074914587672395
234.03,335.65,64.669,15.99,4.6292e-05,0.13036,0.055995,0.06311,0.088393,0.20098,0.069192,0.6080259081294733
236.64,333.46,64.415,15.986,4.8947e-05,0.13051,0.05597,0.063114,0.088556,0.20223,0.069141,0.6095211203380286
244.69,250.75,64.505,15.999,4.8705e-05,0.13091,0.056501,0.062708,0.085911,0.20363,0.07012,0.6097846365099322
